sentence,difficulty_label
"Und gerad beim Klopfen muss man extrem aufpassen, dass man wirklich nicht die Faserung zerstört, weil wirklich sonst das komplette Wasser rausgehen würde und die Schnitzel dann nicht mehr so schön soufflieren .",C1
Berlin-Kreuzberg: eine besonders beliebte Wohngegend .,A1
“ Tim sieht auf den Spielplan.,A1
Nach der Werkstatt übernimmt der Kollege die Fahrzeuge.,B1
Es ist ein Symbol für die zukunftsträchtige Freundschaft zwischen Deutschland und China!,B2
"Der erste Verleger lehnte das Buch übrigens ab, dem zweiten, Kaspar Braun, gefiel die Geschichte.",B2
"Na, bei dem Pflücken ist einmal ganz wichtig, dass man sie maximal drei Tage davor pflückt, kühl lagert , dass die Blüten nicht nass werden, weil dann werden sie braun, und dann halt, dass man sie relativ schnell verarbeitet.",B2
"„Alex, das Wetter ist heute so schön.",A1
Heute kann man sich durch Licht nicht mehr abgrenzen.,C1
"„Mein Fahrrad ist weg“, sagt Mona.",A1
"Das Besondere: Viele Autos, die dort abgegeben werden, könnten eigentlich noch ohne Probleme gefahren werden.",B2
All das macht aus seinen Schriften ein einmaliges Dokument der Entstehung des modernen Denkens.,C1
"Ihnen wurde dann erklärt, dass sie ihr Kind ja in einem christlichen Kindergarten angemeldet haben, dass sie sie in diese Einrichtung gegeben haben.",B2
"Jetzt gehen wir uns umziehen, und dann gehtʼs los.",A2
Denn mit dem Handy findet Lukas den Weg nach Italien.,A2
"Jetzt bin ich bereit, Berlin zu erkunden.",A2
"Zum einen ist das Vokabular, das zur Verfügung steht, wenn es um Defizite geht, weit umfangreicher als jenes, das unsere vorteilhafteren Gaben beschreibt.",C2
Beim Grünkohl reicht die Erntezeit von Oktober/November bis Januar/Februar.,B1
Denn der Mensch ist ja nicht zum Arbeiten geboren.,B2
"Er konnte es nicht ändern, die Firma weiterzuführen, es war eine Art Verpflichtung.",B2
Oder machen Sie einmal einen Umweg.,B1
"„Schade“, sagt der Mann am Telefon.",A1
"Das ist auch bei Sportlerinnen und Sportlern festzustellen, die Ausdauersport treiben und dabei manchmal auch über ihre Grenzen hinausgehen.",C1
Also zieht Willi seine Jacke an.,A1
"Will sich Gert Mittring zum Beispiel an die Zahlenreihe „Null – Vier – Sieben“ erinnern, geht er wie folgt vor: Die Ziffer „Null“ erinnert ihn an ein Frühstücksei, die „Vier“ an ein vierblättriges Kleeblatt und bei der Zahl „Sieben“ denkt er beispielsweise an die sieben Zwerge.",C1
Trotz ihrer augenscheinlich zahlreichen freien Stunden bleibt ihnen selten Gelegenheit zur kontemplativen Muße.,C2
"Moritz – für die meisten Menschen ist das ein Ort, an dem sich die Reichen im Winter zum Skifahren treffen.",B2
"Da Ochsen auch als dumm galten, entwickelte sich wahrscheinlich so die Idee, dass ein Brett vor dem Kopf das Denken behindert.",C2
Aber manche Stoffe nicht – wie beispielsweise die Überreste von Medikamenten.,B2
"Trotzdem kann es passieren, dass sie auf einen klebrigen Faden tritt.",B2
“ Sie fahren immer denselben Weg mit dem Bus?,A2
"Das ist, dass wir die Früchte und so weiter, das Gemüse nicht dann isst [essen], wenn ‘s aus Südafrika oder Argentinien kommt, sondern wenn ‘s hier wächst.",B1
"Es ist die Aufgabe der Politik, Lösungen zu finden, die das Miteinander fördern, statt das Gegeneinander zu verschärfen.",C2
"Norwegen, Schweden, Dänemark, Deutschland, die Niederlande, England und Schottland.",A1
"Wer nicht schwindelfrei ist, kann den Klettersteig auf halber Höhe verlassen und um die zerklüfteten „Affensteine“ herumwandern.",C1
Die AfD protestiert in dem Sinn gegen die Schwächsten der Gesellschaft.,B2
"‘ Und das geht zurück auf eine Legende in der römischen Tradition, ein Tarquinius Superbus, ein römischer Senator, sehr reich der Mann, und es ging um sein Erbe und wer das alles kriegt, und wer seine Herrschaft übernimmt.",C1
Morgen will er wieder im Meer schwimmen.,A2
"Einmal eine andere Person sein, in eine andere Rolle schlüpfen: Das Niederrhein-Theater in Brüggen nahe Düsseldorf ermöglicht das interessierten Jugendlichen.",B2
Früher fand man in kalten Wohnungen oft Eisblumen auf der Innenseite von dünnen Fenstern.,C1
"Die verkaufen die schon teilweise gar nicht mehr, sondern die verbrennen die oder schmeißen die direkt auf die Deponie.",B2
So harmonieren Käse und Wein aus der gleichen Region gut miteinander.,B2
"Fernsehsoziologen sprechen in solchen Fällen von ""parasozialen Kontakten"": der emotionalen Bindung an Personen, die wir gar nicht kennen, ja die nicht einmal existieren müssen und dennoch fester Bestandteil unserer alltäglichen Lebenswirklichkeit sind.",C2
Ein Autofahrer ist mit überhöhter Geschwindigkeit gegen dieses Verkehrsschild gefahren.,B2
Damit unterscheiden sie sich von der Mehrheit der Deutschen.,B1
In einem kleinen niederländischen Ort ist ein Fehler passiert.,A2
Noch nach Wochen hörte ich nachts mein Fenster sagen: „Warum hast du mich zurückgelassen und bist weggegangen?,C2
"Es folgen Stufen aus Stein, rund und ausgetreten.",B1
"Und dadurch nach der Problembeschreibung, die nach wie vor ganz, ganz wichtig ist, noch einen Schritt weiter gehen und eben auch über Lösungen sprechen, Lösungen diskutieren, Menschen nach diesen Lösungsansätzen fragen und eben auch immer darüber nachzudenken, wie wir ein bestimmtes Problem vielleicht beheben können und welche Gegenmaßnahmen es geben könnte.",C2
Mona fährt mit ihrem Fahrrad in die Stadt.,A1
"Mit den entsprechenden körperlichen Konsequenzen: Bänder- oder Kreuzbandrisse, Meniskusschäden, Tennisarme, Jochbeinbrüche oder Gehirnerschütterungen sorgen dafür, dass Sportlerinnen und Sportler für einige Zeit ausfallen.",C1
Hier erstreckt sich das Wattenmeer .,A1
Auf einem Tisch voller Wörterbücher und Synonym-Lexika sortiere ich die Briefhaufen normalerweise erst nach Gefährlichkeit und dann nach Wichtigkeit.,C2
"Ich halte die Verteidigung meines Landes gegen fremde Gewalt und ebenso die Verteidigung unserer Demokratie und unseres Rechtsstaates nicht nur für völkerrechtlich legitim, sondern auch für moralisch geboten.",C2
Jetzt sind alle Sachen im Wohnzimmer.,A1
Sie können Menschen aus Deutschland und aus anderen Ländern kennenlernen.,A2
"Wie erklären wir diesen Widerspruch, dass wir unsere geistige Heimat, unsere neuen Träume und Ziele hier gefunden haben?",C2
Tausende von Studenten demonstrierten 1968 für mehr Freiheit und Demokratie.,B2
"Der Reiz von Tatort wie auch der Tagesschau liegt nicht einfach im Inhalt der Geschichten und Nachrichten, die uns diese Programme in die Wohnzimmer senden.",C2
"Ja, und dann war für mich natürlich überraschend, dass doch weit über das Eigenbrötlerische hinaus, sagen wir mal, eine sehr bedenkliche psychische Konstitution bei ihm vorherrscht.",C1
"Auch habe er Sport als Element gesehen, das Völker miteinander verbindet und den Nationalgedanken in den Hintergrund drängen sollte.",C1
"Das heißt, in diesem Konsumieren ist auch so etwas drin wie ein ‚ Thrill ‘, also eine Art Angstlust sozusagen, sich dem auszusetzen .",C1
Unter diesem Tuch steckt Fotografin Sabine Alex.,A2
"Und da könnte man als Verbraucher versuchen, den Markt zu fragen: ‚Hey Freunde, ich möchte frisches, deutsches Lammfleisch.",B1
"Um sie zu beantworten, muss man sich selbst gut kennen, die Situation genau analysieren und sich über die eigenen Wünsche und Vorstellungen klar werden – und über die des Anderen.",C1
Möchtest du auch kommen?,A1
"Denn dort, in der antiken Stadt Olympia, wurden die Spiele erstmals veranstaltet – bis vermutlich zum Jahr 393 nach Christus, als der römische Kaiser Theodosius I. sie verbot, weil sie als heidnischer Brauch galten.",C1
Über 2500 Autos in der Nähe von Hamburg.,A1
"Diejenigen, die umgangssprachlich ihre ‚letzte Fahrt antreten‘, erleben das selbst nicht mehr.",C2
"Doch es heißt, dass jede Handlung und Entscheidung, die einen Konflikt befeuern könnte, im Lichte des Friedensgedankens geprüft werden muss.",C2
Lotta geht es immer noch sehr schlecht.,A2
Vorneweg geht der Nikolaus mit seinen Engeln und dem Korbträger.,A2
"Das bestätigt auch Nico Winkelmann vom Traditionsrestaurant „Bümmersteder Krug“: „Ja ich glaub‘, hier in Oldenburg wächst so ziemlich jedes Kind mit Grünkohl auf.",B2
"Es gibt die Wölfe zum Abschuss frei , wenn sie trotz aller Schutzmaßnahmen so wie bei Jürgen Frenzel mehrfach Vieh eines Bauern reißen oder gar einen Menschen angreifen.",C1
"Nach dem Absturz macht sie sich auf, um Hilfe für die anderen Passagiere zu holen, von denen sie nicht weiß, wo sie sind und ob sie leben.",C2
Irgendwann scheidet der TÜV Besitzer und Fahrzeug.,A2
"“, fragt der Mann mit dem Kind an der Hand.",B1
Denn auch hierzulande sind die Rechtspopulisten auf dem Vormarsch .,B2
Sie heißen Jana und Tim und sind sehr nett.,A1
Fast die Hälfte sagt: „Mein Lieblingsland ist Deutschland.,A1
Er erfasst dabei mit jedem Auge jeweils eine Seite zur gleichen Zeit.,C2
"Ich sehe das natürlich so, dass die marxsche Weltanschauung hochaktueller denn je ist.",C1
Oft verliert die Wissenschaft durch die illegale Schatzsuche wichtige historische Zeugnisse.,C1
Das zeigen Smartphone-Daten aus mehr als hundert Ländern.,B1
"Technische Hilfsmittel wie Hörgeräte oder sogar Neurochips sind mittlerweile in der Lage, auch schwere Behinderungen zu kompen- sieren.",C2
"Die anstatt durch weise Lehren, sich zum Guten zu bekehren, oftmals noch darüber lachten und sich heimlich lustig machten.",C2
"Das Besondere der „Sibni“ ist, dass sie die weltweit einzige fahrbare Zahnraddampflok mit einem stehenden Heizkessel ist.",C1
Am Freitag um acht Uhr morgens war seine letzte Prüfung.,A2
Dann fährt Timo zurück nach Hause.,A1
"Man hat das Gefühl: Provence, irgendwo in Frankreich und Sommer.",B1
Ebenso tragen Politiker vieler Nationen (darunter auch deutsche) Mitverantwortung für mehrere völkerrechtswidrige Interventionen „aus humanitären Gründen“.,C2
VW verkaufte 2017 über zehn Millionen Autos.,A2
"Tanja sucht und sucht, aber sie kann die Jacke nicht finden.",A1
Angesichts wachsender ökologischer Herausforderungen könnte der Beruf des Schäfers eine Renaissance erfahren und somit neue Perspektiven eröffnen.,C2
"Vielen Dank für Ihre Hilfe, Frau Meier!",A1
"Wäre ich ein Stadt- mensch gewesen und hätte mich nicht ausgekannt, wäre ich sofort in Panik ausgebrochen. """,C2
Was hat ihr neuer Hauseigentümer vor?,B1
Den einen geht es vor allem um den Spaß an der Bewegung.,B1
"Wenn im Kreuzworträtsel nach einer Domfigur mit drei Buchstaben gefragt wird, ist „Uta“ die richtige Lösung.",B2
"“ Das Gehirn ist ein Organ, das trainiert werden kann.",B1
"Kästen werden in Deutschland eher mit rechteckigen Transportkisten in Verbindung gebracht, nicht aber mit Möbelstücken.",C1
Der Teig ist so weit .,A1
"Besondere Auswirkungen hat das vor allem für die Länder, die Bohnen der Sorte Arabica produzieren.",B2
"Als die Seniorin das ablehnte, weigerten sich die beiden Frauen, die Wohnung zu verlassen.",B2
Sie spielen wie jeden Samstag Fußball.,A1
Und wer verzichtet nun eigentlich hauptsächlich auf Fleisch?,B1
"Dieses Vitamin ist wichtig für unsere Fähigkeit zu sehen, besonders in der Nacht.",B1
Und das ist bei Hitler so und das findet man in der Gegenwart durchaus auch mit gar nicht so wenig Beispielen.,C1
Der Grund: Sie haben wahrscheinlich zu wenig geblinzelt.,B1
Es gibt einen Trick: Man denkt in Sätzen und verwendet dann die Anfangsbuchstaben der einzelnen Wörter.,B2
Merktechniken Schon wieder den Einkaufszettel vergessen?,A2
"So richtig schlau wird man nicht aus dem kunstsinnigen, öffentlichkeitsscheuen, sensiblen, opernbegeisterten Monarchen, dem homosexuelle Neigungen sowie Geisteskrankheit, eine gespaltene, schizophrene Persönlichkeit nachgesagt werden.",C2
"Es wird aus dem Verkehr gezogen, stillgelegt.",B1
Es gibt viele Legenden zu ihr.,A2
"Ob Theater für Erwachsene, Kinder oder Jugendliche: Verena Bill und Michael Koenen wollen mehr als ihren Beruf ausüben, sie wollen ihre Begeisterung für das Theater vermitteln und so mithelfen, eine neue Generation von Zuschauern und Schauspielern für die Bühne zu begeistern: „Wir hatten mal so ‘nen Slogan wie: ‚Theater wie im Kino’, weil ganz viele Leute oder auch Kinder haben sehr häufig gesagt: ‚Ich hab’ euch ja in dem Film gesehen.",C1
“ Für die Diplompsychologin gibt es kein Patentrezept für eine glückliche Beziehung.,C1
"Schulvergleich: privates Internat und staatliche Schule Björk Lucas geht auf eine Privatschule, Tom Colm auf eine staatliche Schule.",A2
"Für 25 Minuten geht’s nun in den Ofen, bei 200 Grad Celsius.",A2
"Vor dem Kriegs- gericht gaben die Anwälte der Piloten an, ihre Mandanten hätten zur Zeit des Unfalls unter dem Einfluss des Amphetamins Dexedrin gestanden, welches US-Streitkräfte schon seit dem Zweiten Weltkrieg einsetzen, um ihre Truppen leistungsfä- higer zu machen.",C2
"Also, es hat für mich als Mutter noch mal eine Stärkung gegeben, dass meine Kinder mit solchen Sachen besser umgehen können.",B2
"„Tim, am Samstag feiere ich meinen 70. Geburtstag.",A1
"Pro Tag kommen 2. 164 Kinder auf die Welt, 1. 120 Paare heiraten, und 444 Paare lassen sich scheiden.",A2
"Sie tun sich viel, viel schwerer und können meistens nicht ohne medikamentöse Unterstützung und ohne einen Coach aufhören.",C1
Er ist sehr alt und seine Haare sind weiß.,A1
Und dadurch hängt sie schön drinnen.,A1
Was macht er mit dem Rest?,A2
"Na, ich mag’s eher klassisch.",A2
Die Polizistin geht aus dem Haus und fährt weg.,A1
Man muss für eine gelingende Integration vor allem die Kinder im Blick haben und dafür ganz bestimmt auch die Mütter.,C1
"Und der Unterschied zum Fernsehen prinzipiell bei YouTube ist eben, dass es echt ist.",B2
"In immer ähnlicheren Entwürfen rund um den Globus hat eine ""McDonaldisierung"" eingesetzt: Kosten, Ästhetik, Funktion - ob in Sao Paulo, Atlanta, Frankfurt oder Shanghai, es scheint einen Standardmenschen zu geben, ebenso wie Standardumweltbedingungen.",C2
Also fährt er mit dem Zug nach München.,A1
Mirkos Eltern leben nicht in Deutschland.,A1
Erzählst du mir etwas über deine Reisen?,A1
Die katholische Kirche feiert den Dreikönigstag am 6. Januar.,B1
Doch irgendwann zeigen sich körperliche Begleiterscheinungen aufgrund der Mangelernährung.,C1
Aber das wollte ich auch nicht.,A2
Leider gibt es am Samstag keine Plätze mehr.,A2
"Und es ist relativ neu, dass erst in den letzten Jahren ein Bewusstsein dafür entstanden ist, dass es eine Stadt mit einer deutschen und einer polnischen Geschichte ist und man es jetzt als deutsch-polnische Stadt und auch als Begegnungsstätte von Deutschen und Polen begreifen kann, ohne dass immer gleich dieser revanchistische Hintergedanke aufkommt .",C2
"Sie sind größer, fester, ebenfalls mit blauer Schale, aber mit weißem Fruchtfleisch.",B2
Die Augen sind durch eine Brille geschützt.,A2
Das ist international recht unterschiedlich: Südamerikaner mögen angeblich am liebsten Hunde.,B1
"Übrigens, am 14. Juni ist Weltblutspendetag.",A2
"Daher gilt immer, erst den Fund zu beurteilen.",B2
Nur die sogenannte „gut bürgerliche Küche“ mit ihren traditionellen Gerichten wie Rouladen oder Sauerkraut und Würstchen ist fast ausgestorben.,C1
Experten haben das auf Deutschland übertragen und kommen auf ähnliche Zahlen.,B2
Sie setzen sich auf eine Bank.,A1
Neben der Natur ziehen auch Schloss Neuschwanstein und das Oktoberfest Millionen von Besuchern an.,B1
In einer Sekunde schaffen sie fast acht Silben und die Deutschen nur sechs.,B2
"Stammkunden , die Fleisch essen, kriegen ohne zu fragen Rinderfett.",B1
"Dort legen sie Eier, die der Bauer verkauft.",A2
Danach tanzen und lachen sie viel.,A1
"Ich glaube, wir haben uns viele Jahre nicht getraut, den Retro-Look mit bunten Lichtern zu kombinieren.",C1
"Also, das ist alles sehr vage.",A2
"Zum Beispiel ‚Not ist die Mutter der Künste‘ – also die Künstler müssen erst leiden, damit sie anständige Produkte machen.",B2
FRAU 3: Ich wünsche mir für 2018 ein bisschen mehr Frieden.,A2
"Also, es ist sehr gut möglich, dass der Euro da ins Wackeln kommt .",B1
"Dann bliebe nicht genug zum Leben, sagt Jenny Kopf.",B1
Dinas Mutter ist auch im Wohnzimmer.,A1
Ich möchte auch so gut sein wie er.,B1
"“ Robert Prutz hat eine der ersten Monografien zum Thema verfasst, im Vormärz, der Zeit vor der Märzrevolution 1848/49 in Deutschland.",C1
"Sie ist zivilisiert und unseren Gewohnheiten angepasst"" lobt sie die damalige Presse.",C2
"Aber egal, wie schnell Sprachen gesprochen werden: Alle brauchen ungefähr gleich lang, um eine Information weiterzugeben.",C1
"Und wir haben festgestellt, dass es überhaupt keine Übersetzungen gibt aus diesen Ländern.",B1
"Selbst ein Nebenprodukt wie der Gelee , der beim Kochen von Schweinsfüßen entstand, wenn diese abkühlten, gehörte zum Speiseplan.",C1
Marie hat früher immer gern gekocht.,A2
Bei Wattführungen könnt ihr diesen Lebensraum erforschen.,B1
Auch das Outfit der Angler ist lässig .,A2
Die Helden des Sports sind die Helden der Nation.,B1
Dann geht die Wanderung am Fuße des Berges erst richtig los: nach Ehrwald in Österreich.,B1
"Zu Beginn müssen die Lehrer – wie Markus sagt – alle erst einmal auf den Boden der Tatsachen zurückholen: „Die kommen hier an und meinen, jetzt drehen wir ‘nen 90-Minuten-Spielfilm.",B2
"Sie haben damit nichts am Hut, es ist ihnen nicht wichtig.",B2
"Zum Glück behalten die Strandbesucher ihre Kekse und anderen Proviant für sich, denn diese Dinge sind nicht gut für Störche.",B2
Obst und Gemüse ist immer Anziehfaktor hier im Laden.,A2
Im nördlichsten Bundesland Schleswig-Holstein dagegen gibt es die wenigsten Wälder.,B1
"Also, wir merken dann, dass dieses Konzept lebt.",B1
"Der südliche Teil der Stadt wurde von einer Mehrheit der Religionsgruppe bewohnt, zu der auch die Regierung gehörte, während der nördliche Teil überwiegend sunnitisch war.",C2
"Sie verfügen zwar über viel Zeit, doch Zeit für Muße finden sie dabei meist nicht.",C1
An einem Sonntag blieb der kleine Terrier Sammy nicht zu Hause.,A2
"Vor allem für jene Länder, die Arabica-Bohnen kultivieren, sind die daraus resultierenden Konsequenzen von entscheidender Bedeutung.",C2
"Es geschieht etwas, was dazu führt, dass man sich selbstsicher und gut fühlt.",B2
"Dahinter steht eine lange Geschichte, die mit Schweizer Käse begann.",B2
Aber mit so etwas Kreativem wie einem Turnschuh bekommt man eine ganz andere Aufmerksamkeit.,B2
Das Ausschlachten verbessert die Umweltbilanz immerhin ein wenig.,B2
"“

Ich habe euch das Geheimnis verraten, dass ich an jenem Tag das erste Mal ein schonungsloses Knöllchen über 10 Euro in Deutschland erhalten hatte.",C2
"“ Wichtig für Eva Ullman war also die Paarung von Humor und Ernsthaftigkeit, Seriosität.",B2
Schuld ist wahrscheinlich auch die Corona-Pandemie.,B1
Die Kassiererin sagt: „Das macht 15 Euro.,A1
"Dabei gelangen 195 Partikel in die Umgebungsluft, wieder pro Sekunde.",B2
"Es wird diskutiert und gemeinsam besprochen und entschieden, welche Kamerafahrt man auswählt und was der nächste Schritt im Produktionsablauf sein wird.",C1
"Immer war da meine Angst beim lauten Zuknallen einer Autotür, dass der Geheimdienst kommt, um mich zu holen…

Nachdem ich nach Deutschland gekommen war, brauchte ich eine lange Zeit, um das Gefühl der Angst loszuwerden, wenn ich nachts das laute Knallen einer Autotür hörte.",C2
"Sie stehen nun da und müssen sehen, wie sie sich das Leben arrangieren.",B2
"Von 900 Euro kann ich daheim nicht leben, weil ich muss rechnen: Also, selbst die kleinste Wohnung kostet so .",B1
"Es reicht nicht, wenn man nur in der Stadt Fahrrad gefahren ist.",B2
"Es kann sein, dass ich die ganze Wohnungssuche abblase und … keine Ahnung – gut, zu den Eltern will man nicht mehr ziehen – aber irgend so ‘ne Sachen in Kauf nehmen muss.",B1
"Es ist bedauerlich, dass auf YouTube manipulierte Videos veröffentlicht werden, die Kollegen auf diffamierende Weise verunglimpfen und herabwürdigen.",C2
"Antworten darauf haben die Profis in den Markenagenturen , wie hier in Berlin bei Metadesign.",B2
Heute gibt es in ungefähr 60 deutschen Städten Straßenbahnen.,A2
Das tatsächliche Bauvolumen der Städte besteht nur zu einem geringen Teil aus solchen Vorzeigeprojekten.,C2
Die Brandung versprüht feinste Tröpfchen voller Meeresmineralien .,C1
"Also auch ein bisschen weg von den Problemen,  ja?",A2
"Frauen sind im Schnitt 32,6 Jahre, Männer 35,1 Jahre alt.",A1
"Ziel dabei ist es, eine Kugel mit möglichst wenigen Würfen über eine festgelegte Strecke zu werfen.",B2
"Dass er einen IQ von über 140 hat, weiß er erst, seit er 2014 den Test bei „Mensa“ ablegte, dem weltweit größten Vereins für hochbegabte Menschen jeden Alters.",C1
Geert Deneire weiß: Eine Garantie gibt es nie.,C1
Unter Hitler war die internationale Kinder- und Jugendliteratur verbannt worden.,C1
"Wie existenziell die Verbindung des Menschen zum Schmerz ist, zeigt sich letztendlich auch darin, dass wir ihn bisweilen uns selbst zufügen.",C2
"Sie durften erstmals an den Spielen im Jahr 1900 teilnehmen, die im Rahmen der Weltausstellung in Paris stattfanden.",C1
Unsere ökoeffektive Konzeption geht sogar noch weiter: Wir unterscheiden zwischen biologischen Nährstoffen und technischen Nährstoffen.,C2
Soll ich dir noch etwas geben?,A1
"“ Weniger Jahre auf dem Buckel haben die Weichkäse, die in hell erleuchteten Kühltheken liegen – mit gelblicher Rinde oder mit weißem Schimmel.",C1
"Fragt man rund um den Globus nach, was die Menschen für typisch deutsch halten, lautet die Antwort oft „Bier“, „Lederhosen“ und „Dirndl“.",C1
"“

Der Kellner bringt das Essen.",A1
"Im Jahr 1888, da war sie 51 Jahre alt, machte sie mit ihrem Mann eine Schiffsreise im Mittelmeer.",B1
"Alternativ handelt es sich möglicherweise um Personen, die von einem nahezu zwanghaften Perfektionismus angetrieben werden.",C2
"Frank Preis’ Wolle geht nach China, wird dort weiterverarbeitet und landet in Bettwaren, Polsterungen , Teppichen oder in der Textilindustrie.",B2
"Ein Eins-zu-eins-Konzept würde eine geradezu paradig­matische Situation schaffen, in der jeder seinen Computer stets griffbereit hat und somit über die Freiheit verfügt, ortsunabhängig zu arbeiten und zu lernen.",C2
Dina geht zur Tür und macht sie auf.,A1
Die einzige Ausnahme in Europa ist Luxemburg.,A2
"Wespen mögen es zum Beispiel nicht, wenn man versucht, sie mit der Hand wegzuscheuchen.",B1
Von daher bin ich ja interessiert.,A2
Sarah ist die Köchin und sagt auch freundlich Hallo.,A1
"Allerdings hat, wie Eberhard Straub weiß, auch dieses bekannte Sprichwort einen Bedeutungswandel durchlebt: „Das ist nun im Grunde natürlich auch ein altes Sprichwort.",C1
"Es genügte immer, dass jeder das erreicht oder sich erarbeitet, was er eigentlich braucht, um anständig leben zu können.",C1
Aber ich muss mich natürlich nach dem Kundenwunsch richten.,B2
Regelmäßig gestaltet sie in Deutschland die Schaufenster der französischen Luxusmarke Hermès.,C1
Warum gibt es hier keine Milch?,A1
"Nein, das ist nicht der Fall.",A1
Ein Mann ist in einem Zelt in einem dunklen Wald und hat Durst.,A1
Das größte Blumenfest Mitteleuropas In der österreichischen Region Ausseerland-Salzkammergut wird jedes Jahr im Frühling die Stern-Narzisse gefeiert.,B1
"„Ich mache ein paar Brote“, sagt Alexander.",A1
Also man kennt seine Gäste alle.,A2
Und die breiteste Stelle in Ost- West-Richtung beträgt 640 Kilometer.,B1
"Er braucht auch mehr Platz, denn sein Zimmer ist sehr klein.",A2
"na, sagen wir mal 400 Euro.",A1
"Das ist eine Hochbahn, die seit 1901 durch die Stadt und über den Fluss fährt.",B1
"Er wollte, wie er damals bekanntgab, „alles Volk auf die Berge führen, damit sie alle die Herrlichkeit unseres erhabenen Landes genießen können“.",C2
"Und wenn man eben halt sehr grobe Außenblätter hat, da ist das dann nicht möglich.",B2
Man kann nicht von einem Auto sprechen.,B1
"Ja, dann sind wir zurückgekommen.",A1
"Die Nazis zum Beispiel, aber auch andere des 19. Jahrhunderts wollten die Liebe zum Wald zu etwas speziell Deutschem machen.",C1
"Da sollte man vielleicht doch etwas Abstand zu seinen Mitmenschen halten, oder?",B2
"Aber nicht nur Rezepte und Zutaten sind wichtig, so Ralf Bos: „Früher war ja das, also ‘n Mann, der kocht: ‚Hallo, was soll das denn?",B2
"Die meisten der Musiker hier sind keine Elvis- Imitatoren , allerdings ist er für sie nach wie vor eine große künstlerische Inspiration .",C1
“ Rudolf Häntzschel hatte eine körperliche Behinderung.,A2
"Ja, wollen wir mal… HILDEGARD SCHWEINSBERG: Pogi, noch ein Bier?",A1
"Im Park wollen die Drei zusammen essen, trinken und Fußball spielen.",A2
Es fühlt sich normalerweise nicht schlimm an.,B1
Dann wage ich mich zaghaft hinaus und öffne den Kasten mit unruhig klopfendem Herzen.,C2
Wollen wir an den See fahren?,A1
Am Morgen kommt der Regen.,A1
Heutzutage kommen Bilder und Texte per Datentransfer in den Betrieb.,B1
"Eigentlich müsste ich mich mit meinem Beruf nicht verstecken, könnte stolz auf ihn sein.",C2
Für die Fußgänger bleibt das ein ganz normaler Zebrastreifen.,B1
Für andere spielt der Fitness- und Gesundheitsaspekt eine größere Rolle.,B2
"Die Vermittlung literaturhistorischer und literaturtheoretischer Kenntnisse soll die Studierenden in die Lage versetzen, das eigene künstlerische Schaffen stilkritisch und literaturwissenschaftlich zu analysieren und literaturhistorisch zu begründen.",C2
"So war Wilhelm zehn Jahre alt, als er von seinem Onkel eine gehörige Tracht Prügel bezog, weil er einem Dorfbewohner die Pfeife mit Kuhhaar gefüllt hatte.",C2
"Täglich quillt unser Briefkasten über, wir ertrinken in einer Flut von Briefen, die man nicht vernachlässigen darf.",C2
"Das heißt, eine einzelne Firma verdient an jedem Nutzer hunderte bis tausende Dollar pro Jahr.",B2
"Das Wort „Miasma“ stammt aus dem Griechischen und bedeutet so viel wie „übler Dunst“, aber auch „Ansteckung“.",C1
"Doch später verfiel die Käserei, das Erbe geriet in Vergessenheit .",C1
