sentence,difficulty,text_id,sentence_length,sentence_tokens,total_tokens_per_call,difficulty_reviewed,readability,difficulty_label
"Alle dreißig Jahre werden die rausgenommen, wieder frisch aufgeschweißt und dann wieder reingemacht.",2,311,13,24.0,131.0,B1,92.12,B1
"MAX MURAWSKI Angeln in der Stadt ist auf jeden Fall wesentlich sozialer, als wenn man irgendwo alleine auf nem See sitzt oder an nem See sitzt.",2,467,26,33.0,142.0,B1,78.93,B1
"Nachdem er den Islam angenommen hat, durchreist er Europa, um Gotteshäuser fotografisch festzuhalten und deren spirituelle Aura einzufangen.",5,unknown,18,,,C2,44.75,C2
"Vollends verstört wäre er, wenn diese Leute seine geistigen Fähigkeiten daraufhin überprüfen würden, ob sie ausreichten, Tausende von Pflanzen zu unterscheiden, Fährten zu lesen oder tiefe Strömungen an winzigen Nuancen der Meeresoberfläche zu erkennen.",5,unknown,34,,,C2,36.97,C2
"Und gerad beim Klopfen muss man extrem aufpassen, dass man wirklich nicht die Faserung zerstört, weil wirklich sonst das komplette Wasser rausgehen würde und die Schnitzel dann nicht mehr so schön soufflieren .",4,473,33,47.0,157.0,C1,55.92,C1
Berlin-Kreuzberg: eine besonders beliebte Wohngegend .,0,479,6,14.0,118.0,A1,66.4,A1
“ Tim sieht auf den Spielplan.,0,526,6,,,A1,117.16,A1
Nach der Werkstatt übernimmt der Kollege die Fahrzeuge.,2,463,8,11.0,118.0,B1,80.28,B1
Es ist ein Symbol für die zukunftsträchtige Freundschaft zwischen Deutschland und China!,3,454,12,19.0,124.0,B2,50.84,B2
"Der erste Verleger lehnte das Buch übrigens ab, dem zweiten, Kaspar Braun, gefiel die Geschichte.",3,284,15,23.0,131.0,B2,81.63,B2
"Na, bei dem Pflücken ist einmal ganz wichtig, dass man sie maximal drei Tage davor pflückt, kühl lagert , dass die Blüten nicht nass werden, weil dann werden sie braun, und dann halt, dass man sie relativ schnell verarbeitet.",3,458,39,52.0,163.0,B2,58.29,B2
"„Alex, das Wetter ist heute so schön.",0,501,7,,,A1,106.67,A1
Heute kann man sich durch Licht nicht mehr abgrenzen.,4,283,9,12.0,116.0,C1,96.18,C1
"„Mein Fahrrad ist weg“, sagt Mona.",0,518,6,,,A1,116.15,A1
"Das Besondere: Viele Autos, die dort abgegeben werden, könnten eigentlich noch ohne Probleme gefahren werden.",3,463,15,21.0,129.0,B2,73.17,B2
All das macht aus seinen Schriften ein einmaliges Dokument der Entstehung des modernen Denkens.,4,313,14,20.0,128.0,C1,74.19,C1
"Ihnen wurde dann erklärt, dass sie ihr Kind ja in einem christlichen Kindergarten angemeldet haben, dass sie sie in diese Einrichtung gegeben haben.",3,297,23,29.0,140.0,B2,81.97,B2
"Jetzt gehen wir uns umziehen, und dann gehtʼs los.",1,484,9,14.0,120.0,A2,104.64,A2
Denn mit dem Handy findet Lukas den Weg nach Italien.,1,476,10,,,A2,95.17,A2
"Jetzt bin ich bereit, Berlin zu erkunden.",1,541,7,,,A2,81.29,A2
"Zum einen ist das Vokabular, das zur Verfügung steht, wenn es um Defizite geht, weit umfangreicher als jenes, das unsere vorteilhafteren Gaben beschreibt.",5,unknown,23,,,C2,48.13,C2
Beim Grünkohl reicht die Erntezeit von Oktober/November bis Januar/Februar.,2,289,9,19.0,125.0,B1,28.5,B1
Denn der Mensch ist ja nicht zum Arbeiten geboren.,3,287,9,10.0,117.0,B2,79.26,B2
"Er konnte es nicht ändern, die Firma weiterzuführen, es war eine Art Verpflichtung.",3,312,13,18.0,128.0,B2,75.2,B2
Oder machen Sie einmal einen Umweg.,2,738,6,,,B1,99.23,B1
"„Schade“, sagt der Mann am Telefon.",0,488,6,,,A1,99.23,A1
"Das ist auch bei Sportlerinnen und Sportlern festzustellen, die Ausdauersport treiben und dabei manchmal auch über ihre Grenzen hinausgehen.",4,317,19,30.0,143.0,C1,60.65,C1
Also zieht Willi seine Jacke an.,0,489,6,,,A1,99.23,A1
"Will sich Gert Mittring zum Beispiel an die Zahlenreihe „Null – Vier – Sieben“ erinnern, geht er wie folgt vor: Die Ziffer „Null“ erinnert ihn an ein Frühstücksei, die „Vier“ an ein vierblättriges Kleeblatt und bei der Zahl „Sieben“ denkt er beispielsweise an die sieben Zwerge.",4,316,46,75.0,195.0,C1,52.2,C1
Trotz ihrer augenscheinlich zahlreichen freien Stunden bleibt ihnen selten Gelegenheit zur kontemplativen Muße.,5,unknown,13,,,C2,24.44,C2
"Moritz – für die meisten Menschen ist das ein Ort, an dem sich die Reichen im Winter zum Skifahren treffen.",3,461,20,26.0,129.0,B2,69.11,B2
"Da Ochsen auch als dumm galten, entwickelte sich wahrscheinlich so die Idee, dass ein Brett vor dem Kopf das Denken behindert.",5,639,21,,,C2,75.54,C2
Aber manche Stoffe nicht – wie beispielsweise die Überreste von Medikamenten.,3,305,11,15.0,127.0,B2,86.71,B2
"Trotzdem kann es passieren, dass sie auf einen klebrigen Faden tritt.",3,626,11,,,B2,85.69,B2
“ Sie fahren immer denselben Weg mit dem Bus?,1,738,9,,,A2,88.74,A2
"Das ist, dass wir die Früchte und so weiter, das Gemüse nicht dann isst [essen], wenn ‘s aus Südafrika oder Argentinien kommt, sondern wenn ‘s hier wächst.",2,315,27,40.0,148.0,B1,69.45,B1
"Es ist die Aufgabe der Politik, Lösungen zu finden, die das Miteinander fördern, statt das Gegeneinander zu verschärfen.",5,unknown,18,,,C2,61.67,C2
"Norwegen, Schweden, Dänemark, Deutschland, die Niederlande, England und Schottland.",0,664,9,,,A1,28.5,A1
"Wer nicht schwindelfrei ist, kann den Klettersteig auf halber Höhe verlassen und um die zerklüfteten „Affensteine“ herumwandern.",4,321,17,37.0,143.0,C1,62.68,C1
Die AfD protestiert in dem Sinn gegen die Schwächsten der Gesellschaft.,3,460,11,16.0,120.0,B2,102.61,B2
"‘ Und das geht zurück auf eine Legende in der römischen Tradition, ein Tarquinius Superbus, ein römischer Senator, sehr reich der Mann, und es ging um sein Erbe und wer das alles kriegt, und wer seine Herrschaft übernimmt.",4,300,38,55.0,164.0,C1,50.84,C1
Morgen will er wieder im Meer schwimmen.,1,490,7,,,A2,89.75,A2
"Einmal eine andere Person sein, in eine andere Rolle schlüpfen: Das Niederrhein-Theater in Brüggen nahe Düsseldorf ermöglicht das interessierten Jugendlichen.",3,310,20,34.0,145.0,B2,42.72,B2
Früher fand man in kalten Wohnungen oft Eisblumen auf der Innenseite von dünnen Fenstern.,4,595,14,,,C1,57.27,C1
"Die verkaufen die schon teilweise gar nicht mehr, sondern die verbrennen die oder schmeißen die direkt auf die Deponie.",3,295,19,26.0,134.0,B2,77.57,B2
So harmonieren Käse und Wein aus der gleichen Region gut miteinander.,3,322,11,14.0,122.0,B2,77.23,B2
"Fernsehsoziologen sprechen in solchen Fällen von ""parasozialen Kontakten"": der emotionalen Bindung an Personen, die wir gar nicht kennen, ja die nicht einmal existieren müssen und dennoch fester Bestandteil unserer alltäglichen Lebenswirklichkeit sind.",5,unknown,32,,,C2,39.0,C2
Ein Autofahrer ist mit überhöhter Geschwindigkeit gegen dieses Verkehrsschild gefahren.,3,616,10,,,B2,78.25,B2
Damit unterscheiden sie sich von der Mehrheit der Deutschen.,2,315,9,10.0,117.0,B1,87.72,B1
In einem kleinen niederländischen Ort ist ein Fehler passiert.,1,745,9,,,A2,96.18,A2
Noch nach Wochen hörte ich nachts mein Fenster sagen: „Warum hast du mich zurückgelassen und bist weggegangen?,5,unknown,17,,,C2,79.6,C2
"Es folgen Stufen aus Stein, rund und ausgetreten.",2,321,8,13.0,117.0,B1,80.28,B1
"Und dadurch nach der Problembeschreibung, die nach wie vor ganz, ganz wichtig ist, noch einen Schritt weiter gehen und eben auch über Lösungen sprechen, Lösungen diskutieren, Menschen nach diesen Lösungsansätzen fragen und eben auch immer darüber nachzudenken, wie wir ein bestimmtes Problem vielleicht beheben können und welche Gegenmaßnahmen es geben könnte.",5,290,51,71.0,187.0,C2,28.17,C2
Mona fährt mit ihrem Fahrrad in die Stadt.,0,517,8,,,A1,114.12,A1
"Mit den entsprechenden körperlichen Konsequenzen: Bänder- oder Kreuzbandrisse, Meniskusschäden, Tennisarme, Jochbeinbrüche oder Gehirnerschütterungen sorgen dafür, dass Sportlerinnen und Sportler für einige Zeit ausfallen.",4,317,23,52.0,168.0,C1,14.29,C1
Hier erstreckt sich das Wattenmeer .,0,482,6,10.0,113.0,A1,49.48,A1
Auf einem Tisch voller Wörterbücher und Synonym-Lexika sortiere ich die Briefhaufen normalerweise erst nach Gefährlichkeit und dann nach Wichtigkeit.,5,unknown,19,,,C2,77.57,C2
"Ich halte die Verteidigung meines Landes gegen fremde Gewalt und ebenso die Verteidigung unserer Demokratie und unseres Rechtsstaates nicht nur für völkerrechtlich legitim, sondern auch für moralisch geboten.",5,unknown,28,,,C2,51.52,C2
Jetzt sind alle Sachen im Wohnzimmer.,0,505,6,,,A1,73.85,A1
Sie können Menschen aus Deutschland und aus anderen Ländern kennenlernen.,1,487,10,,,A2,44.41,A2
"Wie erklären wir diesen Widerspruch, dass wir unsere geistige Heimat, unsere neuen Träume und Ziele hier gefunden haben?",5,unknown,18,,,C2,70.13,C2
Tausende von Studenten demonstrierten 1968 für mehr Freiheit und Demokratie.,3,460,10,16.0,126.0,B2,69.79,B2
"Der Reiz von Tatort wie auch der Tagesschau liegt nicht einfach im Inhalt der Geschichten und Nachrichten, die uns diese Programme in die Wohnzimmer senden.",5,unknown,25,,,C2,71.48,C2
"Ja, und dann war für mich natürlich überraschend, dass doch weit über das Eigenbrötlerische hinaus, sagen wir mal, eine sehr bedenkliche psychische Konstitution bei ihm vorherrscht.",4,284,26,42.0,151.0,C1,53.55,C1
"Auch habe er Sport als Element gesehen, das Völker miteinander verbindet und den Nationalgedanken in den Hintergrund drängen sollte.",4,288,19,25.0,139.0,C1,60.65,C1
"Das heißt, in diesem Konsumieren ist auch so etwas drin wie ein ‚ Thrill ‘, also eine Art Angstlust sozusagen, sich dem auszusetzen .",4,290,24,34.0,144.0,C1,84.0,C1
Unter diesem Tuch steckt Fotografin Sabine Alex.,1,441,7,12.0,117.0,A2,106.67,A2
"Und da könnte man als Verbraucher versuchen, den Markt zu fragen: ‚Hey Freunde, ich möchte frisches, deutsches Lammfleisch.",2,295,18,29.0,140.0,B1,70.13,B1
"Um sie zu beantworten, muss man sich selbst gut kennen, die Situation genau analysieren und sich über die eigenen Wünsche und Vorstellungen klar werden – und über die des Anderen.",4,324,30,35.0,145.0,C1,58.96,C1
Möchtest du auch kommen?,0,444,4,7.0,111.0,A1,75.88,A1
"Denn dort, in der antiken Stadt Olympia, wurden die Spiele erstmals veranstaltet – bis vermutlich zum Jahr 393 nach Christus, als der römische Kaiser Theodosius I. sie verbot, weil sie als heidnischer Brauch galten.",4,288,34,54.0,163.0,C1,54.73,C1
Über 2500 Autos in der Nähe von Hamburg.,0,463,8,11.0,116.0,A1,88.74,A1
"Diejenigen, die umgangssprachlich ihre ‚letzte Fahrt antreten‘, erleben das selbst nicht mehr.",5,293,12,24.0,132.0,C2,67.76,C2
"Doch es heißt, dass jede Handlung und Entscheidung, die einen Konflikt befeuern könnte, im Lichte des Friedensgedankens geprüft werden muss.",5,unknown,20,,,C2,68.1,C2
Lotta geht es immer noch sehr schlecht.,1,520,7,,,A2,89.75,A2
Vorneweg geht der Nikolaus mit seinen Engeln und dem Korbträger.,1,484,10,18.0,123.0,A2,78.25,A2
"Das bestätigt auch Nico Winkelmann vom Traditionsrestaurant „Bümmersteder Krug“: „Ja ich glaub‘, hier in Oldenburg wächst so ziemlich jedes Kind mit Grünkohl auf.",3,289,23,40.0,151.0,B2,48.13,B2
"Es gibt die Wölfe zum Abschuss frei , wenn sie trotz aller Schutzmaßnahmen so wie bei Jürgen Frenzel mehrfach Vieh eines Bauern reißen oder gar einen Menschen angreifen.",4,440,28,38.0,154.0,C1,69.45,C1
"Nach dem Absturz macht sie sich auf, um Hilfe für die anderen Passagiere zu holen, von denen sie nicht weiß, wo sie sind und ob sie leben.",5,unknown,27,,,C2,77.91,C2
Irgendwann scheidet der TÜV Besitzer und Fahrzeug.,1,299,7,13.0,121.0,A2,64.37,A2
"“, fragt der Mann mit dem Kind an der Hand.",2,486,10,,,B1,113.1,B1
Denn auch hierzulande sind die Rechtspopulisten auf dem Vormarsch .,3,460,10,17.0,125.0,B2,53.88,B2
Sie heißen Jana und Tim und sind sehr nett.,0,465,9,,,A1,113.1,A1
Fast die Hälfte sagt: „Mein Lieblingsland ist Deutschland.,0,700,8,,,A1,88.74,A1
Er erfasst dabei mit jedem Auge jeweils eine Seite zur gleichen Zeit.,5,unknown,12,,,C2,84.68,C2
"Ich sehe das natürlich so, dass die marxsche Weltanschauung hochaktueller denn je ist.",4,454,13,21.0,127.0,C1,75.2,C1
Oft verliert die Wissenschaft durch die illegale Schatzsuche wichtige historische Zeugnisse.,4,475,11,17.0,128.0,C1,60.31,C1
Das zeigen Smartphone-Daten aus mehr als hundert Ländern.,2,594,8,,,B1,63.36,B1
"Technische Hilfsmittel wie Hörgeräte oder sogar Neurochips sind mittlerweile in der Lage, auch schwere Behinderungen zu kompen- sieren.",5,unknown,18,,,C2,36.28,C2
"Die anstatt durch weise Lehren, sich zum Guten zu bekehren, oftmals noch darüber lachten und sich heimlich lustig machten.",5,284,19,30.0,138.0,C2,86.03,C2
"Das Besondere der „Sibni“ ist, dass sie die weltweit einzige fahrbare Zahnraddampflok mit einem stehenden Heizkessel ist.",4,311,17,32.0,142.0,C1,71.14,C1
Am Freitag um acht Uhr morgens war seine letzte Prüfung.,1,483,10,,,A2,78.25,A2
Dann fährt Timo zurück nach Hause.,0,515,6,,,A1,116.15,A1
"Man hat das Gefühl: Provence, irgendwo in Frankreich und Sommer.",2,456,10,13.0,120.0,B1,78.25,B1
Ebenso tragen Politiker vieler Nationen (darunter auch deutsche) Mitverantwortung für mehrere völkerrechtswidrige Interventionen „aus humanitären Gründen“.,5,unknown,16,,,C2,4.47,C2
VW verkaufte 2017 über zehn Millionen Autos.,1,443,7,12.0,119.0,A2,81.29,A2
"Tanja sucht und sucht, aber sie kann die Jacke nicht finden.",0,508,11,,,A1,94.15,A1
Angesichts wachsender ökologischer Herausforderungen könnte der Beruf des Schäfers eine Renaissance erfahren und somit neue Perspektiven eröffnen.,5,unknown,17,,,C2,20.38,C2
"Vielen Dank für Ihre Hilfe, Frau Meier!",0,506,7,,,A1,89.75,A1
"Wäre ich ein Stadt- mensch gewesen und hätte mich nicht ausgekannt, wäre ich sofort in Panik ausgebrochen. """,5,unknown,18,,,C2,71.14,C2
Was hat ihr neuer Hauseigentümer vor?,2,464,6,9.0,116.0,B1,90.77,B1
Den einen geht es vor allem um den Spaß an der Bewegung.,2,317,12,13.0,119.0,B1,93.14,B1
"Wenn im Kreuzworträtsel nach einer Domfigur mit drei Buchstaben gefragt wird, ist „Uta“ die richtige Lösung.",3,286,16,26.0,138.0,B2,72.16,B2
"“ Das Gehirn ist ein Organ, das trainiert werden kann.",2,316,10,14.0,118.0,B1,96.18,B1
"Kästen werden in Deutschland eher mit rechteckigen Transportkisten in Verbindung gebracht, nicht aber mit Möbelstücken.",4,323,15,25.0,132.0,C1,47.79,C1
Der Teig ist so weit .,0,459,6,7.0,110.0,A1,117.16,A1
"Besondere Auswirkungen hat das vor allem für die Länder, die Bohnen der Sorte Arabica produzieren.",3,291,15,21.0,131.0,B2,73.17,B2
"Als die Seniorin das ablehnte, weigerten sich die beiden Frauen, die Wohnung zu verlassen.",3,661,14,,,B2,74.19,B2
Sie spielen wie jeden Samstag Fußball.,0,475,6,,,A1,73.85,A1
Und wer verzichtet nun eigentlich hauptsächlich auf Fleisch?,2,697,8,,,B1,88.74,B1
"Dieses Vitamin ist wichtig für unsere Fähigkeit zu sehen, besonders in der Nacht.",2,685,13,,,B1,75.2,B1
Und das ist bei Hitler so und das findet man in der Gegenwart durchaus auch mit gar nicht so wenig Beispielen.,4,292,21,24.0,131.0,C1,84.0,C1
Der Grund: Sie haben wahrscheinlich zu wenig geblinzelt.,2,601,8,,,B1,105.66,B1
Es gibt einen Trick: Man denkt in Sätzen und verwendet dann die Anfangsbuchstaben der einzelnen Wörter.,3,730,16,,,B2,72.16,B2
Merktechniken Schon wieder den Einkaufszettel vergessen?,1,316,6,11.0,119.0,A2,73.85,A2
"So richtig schlau wird man nicht aus dem kunstsinnigen, öffentlichkeitsscheuen, sensiblen, opernbegeisterten Monarchen, dem homosexuelle Neigungen sowie Geisteskrankheit, eine gespaltene, schizophrene Persönlichkeit nachgesagt werden.",5,308,24,57.0,167.0,C2,21.74,C2
"Es wird aus dem Verkehr gezogen, stillgelegt.",2,299,7,10.0,116.0,B1,89.75,B1
Es gibt viele Legenden zu ihr.,1,286,6,8.0,111.0,A2,90.77,A2
"Ob Theater für Erwachsene, Kinder oder Jugendliche: Verena Bill und Michael Koenen wollen mehr als ihren Beruf ausüben, sie wollen ihre Begeisterung für das Theater vermitteln und so mithelfen, eine neue Generation von Zuschauern und Schauspielern für die Bühne zu begeistern: „Wir hatten mal so ‘nen Slogan wie: ‚Theater wie im Kino’, weil ganz viele Leute oder auch Kinder haben sehr häufig gesagt: ‚Ich hab’ euch ja in dem Film gesehen.",4,310,71,99.0,225.0,C1,24.79,C1
“ Für die Diplompsychologin gibt es kein Patentrezept für eine glückliche Beziehung.,4,324,12,19.0,125.0,C1,77.23,C1
"Schulvergleich: privates Internat und staatliche Schule Björk Lucas geht auf eine Privatschule, Tom Colm auf eine staatliche Schule.",1,478,18,32.0,140.0,A2,70.13,A2
"Für 25 Minuten geht’s nun in den Ofen, bei 200 Grad Celsius.",1,459,12,18.0,121.0,A2,101.6,A2
"Vor dem Kriegs- gericht gaben die Anwälte der Piloten an, ihre Mandanten hätten zur Zeit des Unfalls unter dem Einfluss des Amphetamins Dexedrin gestanden, welches US-Streitkräfte schon seit dem Zweiten Weltkrieg einsetzen, um ihre Truppen leistungsfä- higer zu machen.",5,unknown,39,,,C2,40.35,C2
"Also, es hat für mich als Mutter noch mal eine Stärkung gegeben, dass meine Kinder mit solchen Sachen besser umgehen können.",3,297,21,25.0,136.0,B2,84.0,B2
"„Tim, am Samstag feiere ich meinen 70. Geburtstag.",0,526,8,,,A1,88.74,A1
"Pro Tag kommen 2. 164 Kinder auf die Welt, 1. 120 Paare heiraten, und 444 Paare lassen sich scheiden.",1,680,19,,,A2,98.92,A2
"Sie tun sich viel, viel schwerer und können meistens nicht ohne medikamentöse Unterstützung und ohne einen Coach aufhören.",4,298,18,26.0,134.0,C1,70.13,C1
Er ist sehr alt und seine Haare sind weiß.,0,514,9,,,A1,113.1,A1
Und dadurch hängt sie schön drinnen.,0,458,6,8.0,114.0,A1,99.23,A1
Was macht er mit dem Rest?,1,459,6,7.0,110.0,A2,116.15,A2
"Na, ich mag’s eher klassisch.",1,485,5,9.0,112.0,A2,100.24,A2
Die Polizistin geht aus dem Haus und fährt weg.,0,506,9,,,A1,113.1,A1
Man muss für eine gelingende Integration vor allem die Kinder im Blick haben und dafür ganz bestimmt auch die Mütter.,4,444,20,24.0,130.0,C1,76.56,C1
"Und der Unterschied zum Fernsehen prinzipiell bei YouTube ist eben, dass es echt ist.",3,467,14,20.0,124.0,B2,82.65,B2
"In immer ähnlicheren Entwürfen rund um den Globus hat eine ""McDonaldisierung"" eingesetzt: Kosten, Ästhetik, Funktion - ob in Sao Paulo, Atlanta, Frankfurt oder Shanghai, es scheint einen Standardmenschen zu geben, ebenso wie Standardumweltbedingungen.",5,unknown,33,,,C2,22.08,C2
Also fährt er mit dem Zug nach München.,0,497,8,,,A1,105.66,A1
Mirkos Eltern leben nicht in Deutschland.,0,491,6,,,A1,90.77,A1
Erzählst du mir etwas über deine Reisen?,0,544,7,,,A1,106.67,A1
Die katholische Kirche feiert den Dreikönigstag am 6. Januar.,2,701,9,,,B1,96.18,B1
Doch irgendwann zeigen sich körperliche Begleiterscheinungen aufgrund der Mangelernährung.,4,285,9,17.0,128.0,C1,-5.35,C1
Aber das wollte ich auch nicht.,1,312,6,7.0,111.0,A2,116.15,A2
Leider gibt es am Samstag keine Plätze mehr.,1,483,8,,,A2,88.74,A2
"Und es ist relativ neu, dass erst in den letzten Jahren ein Bewusstsein dafür entstanden ist, dass es eine Stadt mit einer deutschen und einer polnischen Geschichte ist und man es jetzt als deutsch-polnische Stadt und auch als Begegnungsstätte von Deutschen und Polen begreifen kann, ohne dass immer gleich dieser revanchistische Hintergedanke aufkommt .",5,446,54,71.0,187.0,C2,34.6,C2
"Sie sind größer, fester, ebenfalls mit blauer Schale, aber mit weißem Fruchtfleisch.",3,576,12,,,B2,84.68,B2
Die Augen sind durch eine Brille geschützt.,1,309,7,9.0,115.0,A2,106.67,A2
Das ist international recht unterschiedlich: Südamerikaner mögen angeblich am liebsten Hunde.,2,714,11,,,B1,26.47,B1
"Übrigens, am 14. Juni ist Weltblutspendetag.",1,668,6,,,A2,51.51,A2
"Daher gilt immer, erst den Fund zu beurteilen.",3,480,8,12.0,118.0,B2,88.74,B2
Nur die sogenannte „gut bürgerliche Küche“ mit ihren traditionellen Gerichten wie Rouladen oder Sauerkraut und Würstchen ist fast ausgestorben.,4,315,19,32.0,146.0,C1,52.19,C1
Experten haben das auf Deutschland übertragen und kommen auf ähnliche Zahlen.,3,318,11,13.0,121.0,B2,68.77,B2
Sie setzen sich auf eine Bank.,0,502,6,,,A1,99.23,A1
Neben der Natur ziehen auch Schloss Neuschwanstein und das Oktoberfest Millionen von Besuchern an.,2,453,14,20.0,128.0,B1,65.73,B1
In einer Sekunde schaffen sie fast acht Silben und die Deutschen nur sechs.,3,682,13,,,B2,92.12,B2
"Stammkunden , die Fleisch essen, kriegen ohne zu fragen Rinderfett.",2,455,10,18.0,125.0,B1,79.26,B1
"Dort legen sie Eier, die der Bauer verkauft.",1,716,8,,,A2,105.66,A2
Danach tanzen und lachen sie viel.,0,465,6,,,A1,116.15,A1
"Ich glaube, wir haben uns viele Jahre nicht getraut, den Retro-Look mit bunten Lichtern zu kombinieren.",4,481,16,26.0,132.0,C1,89.08,C1
"Also, das ist alles sehr vage.",1,286,6,9.0,112.0,A2,99.23,A2
"Zum Beispiel ‚Not ist die Mutter der Künste‘ – also die Künstler müssen erst leiden, damit sie anständige Produkte machen.",3,300,20,29.0,138.0,B2,69.11,B2
FRAU 3: Ich wünsche mir für 2018 ein bisschen mehr Frieden.,1,438,11,18.0,126.0,A2,94.15,A2
"Also, es ist sehr gut möglich, dass der Euro da ins Wackeln kommt .",2,438,14,18.0,121.0,B1,92.12,B1
"Dann bliebe nicht genug zum Leben, sagt Jenny Kopf.",2,464,9,12.0,119.0,B1,104.64,B1
Dinas Mutter ist auch im Wohnzimmer.,0,496,6,,,A1,56.93,A1
Ich möchte auch so gut sein wie er.,2,475,8,,,B1,114.12,B1
"“ Robert Prutz hat eine der ersten Monografien zum Thema verfasst, im Vormärz, der Zeit vor der Märzrevolution 1848/49 in Deutschland.",4,313,21,36.0,141.0,C1,59.64,C1
"Sie ist zivilisiert und unseren Gewohnheiten angepasst"" lobt sie die damalige Presse.",5,unknown,12,,,C2,76.22,C2
"Aber egal, wie schnell Sprachen gesprochen werden: Alle brauchen ungefähr gleich lang, um eine Information weiterzugeben.",4,682,16,,,C1,72.16,C1
"Und wir haben festgestellt, dass es überhaupt keine Übersetzungen gibt aus diesen Ländern.",2,296,13,17.0,127.0,B1,66.74,B1
"Selbst ein Nebenprodukt wie der Gelee , der beim Kochen von Schweinsfüßen entstand, wenn diese abkühlten, gehörte zum Speiseplan.",4,319,19,35.0,142.0,C1,78.59,C1
Marie hat früher immer gern gekocht.,1,534,6,,,A2,99.23,A2
Bei Wattführungen könnt ihr diesen Lebensraum erforschen.,2,471,7,13.0,118.0,B1,55.91,B1
Auch das Outfit der Angler ist lässig .,1,467,8,11.0,116.0,A2,81.29,A2
Die Helden des Sports sind die Helden der Nation.,2,317,9,12.0,115.0,B1,104.64,B1
Dann geht die Wanderung am Fuße des Berges erst richtig los: nach Ehrwald in Österreich.,2,476,15,21.0,127.0,B1,90.09,B1
"Zu Beginn müssen die Lehrer – wie Markus sagt – alle erst einmal auf den Boden der Tatsachen zurückholen: „Die kommen hier an und meinen, jetzt drehen wir ‘nen 90-Minuten-Spielfilm.",3,307,30,44.0,156.0,B2,68.44,B2
"Sie haben damit nichts am Hut, es ist ihnen nicht wichtig.",3,301,11,13.0,116.0,B2,102.61,B2
"Zum Glück behalten die Strandbesucher ihre Kekse und anderen Proviant für sich, denn diese Dinge sind nicht gut für Störche.",3,748,20,,,B2,76.56,B2
Obst und Gemüse ist immer Anziehfaktor hier im Laden.,1,438,9,14.0,120.0,A2,79.26,A2
Im nördlichsten Bundesland Schleswig-Holstein dagegen gibt es die wenigsten Wälder.,2,669,10,,,B1,61.33,B1
"Also, wir merken dann, dass dieses Konzept lebt.",2,450,8,11.0,117.0,B1,105.66,B1
"Der südliche Teil der Stadt wurde von einer Mehrheit der Religionsgruppe bewohnt, zu der auch die Regierung gehörte, während der nördliche Teil überwiegend sunnitisch war.",5,unknown,25,,,C2,63.02,C2
"Sie verfügen zwar über viel Zeit, doch Zeit für Muße finden sie dabei meist nicht.",4,287,15,18.0,124.0,C1,90.09,C1
An einem Sonntag blieb der kleine Terrier Sammy nicht zu Hause.,1,736,11,,,A2,77.23,A2
"Vor allem für jene Länder, die Arabica-Bohnen kultivieren, sind die daraus resultierenden Konsequenzen von entscheidender Bedeutung.",5,unknown,16,,,C2,29.86,C2
"Es geschieht etwas, was dazu führt, dass man sich selbstsicher und gut fühlt.",3,301,13,19.0,125.0,B2,83.66,B2
"Dahinter steht eine lange Geschichte, die mit Schweizer Käse begann.",3,486,10,15.0,121.0,B2,78.25,B2
