sentence,difficulty
Meine Freundin kennt eine gute Reinigung gleich um die Ecke. “ Frau Müller gibt ihr einen Zettel und einen Stift.,A2
„Schreiben Sie uns bitte Ihre Adresse auf.,A2
"Dann können wir Ihnen das Geld für die Reinigung bringen. “

Nach der Arbeit sagt Frau Müller zu Simon:",B1
„Sowas passiert jedem am Anfang.,B1
"Wichtig ist, dass man ehrlich ist und um Hilfe bittet.",B1
Du hast das richtig gemacht! “ Simon ist erleichtert.,A2
Am nächsten Tag kommt die alte Dame wieder ins Café.,A2
Sie zeigt Simon ihre saubere Handtasche und bestellt noch ein Stück Kuchen.,B1
"„Wissen Sie“, sagt sie zu Simon, „ich war früher auch Kellnerin.",B1
In meiner ersten Woche habe ich drei Teller fallen lassen! “ Sie lacht.,B1
„Man muss nur weitermachen und aus seinen Fehlern lernen. “ Simon lächelt.,B1
"Jetzt weiß er: Auch wenn man einen Fehler macht, kann am Ende alles gut werden.",B1
Heute Abend ist es endlich so weit.,A2
"Laura hat dieses Jahr Abitur gemacht und heute ist die große Feier, der Abiball.",B1
Laura freut sich seit vielen Wochen auf diesen Tag.,B1
Alle ihre Freunde kommen und feiern zusammen.,A2
Sie ist schon sehr aufgeregt.,A2
Gestern hat sie sich sogar neue Schuhe für den Ball gekauft.,B1
Aber Laura hat ein Problem: Sie hat noch kein passendes Kleid.,A2
Alle ihre Kleider sind alt und passen ihr nicht mehr.,A2
Noch hat Laura Zeit.,A2
"Sie geht in die Stadt, um ein neues Kleid zu kaufen.",A2
Dort gibt es ein großes Kaufhaus.,A2
In dem Laden probiert Laura verschiedene Kleider an.,A2
Das rote gefällt ihr sehr gut.,A2
Doch dann sieht sie den Preis.,A2
Es kostet 200 Euro.,A2
Das ist viel zu teuer.,A2
So viel Geld hat Laura nicht.,A2
Was kann sie tun?,A2
Laura sitzt in der Umkleidekabine und denkt nach.,A2
Sie könnte das Kleid zurücklegen.,B1
"Oder sie nimmt das Kleid heimlich mit, so dass niemand sie sieht.",B1
Also gibt sie das Kleid zurück.,A2
Dann geht sie traurig nach Hause.,A2
Später ruft ihre Freundin Mona an.,A2
„Hallo Laura.,A1
Bist du bereit?,A2
Der Abschlussball beginnt gleich. “,A2
"„Ich glaube, ich komme nicht mit.",A2
Ich habe kein schönes Kleid.,A2
"Ein neues Kleid konnte ich mir auch nicht kaufen“, sagt Laura traurig.",B1
„Das ist doch kein Problem!,A2
Ich kann dir ein Kleid von mir geben.,A2
"Ich komme gleich zu dir“, antwortet Mona.",A2
10 Minuten später klingelt Mona an der Tür.,A2
"Sie hat ein sehr schönes, grünes Kleid dabei.",A2
"„Wow, das sieht toll aus.",A2
"Das ist sehr lieb von dir“, sagt Laura und lächelt.",A2
„Das ist kein Problem.,A2
Du bist doch meine beste Freundin.,A2
Ich helfe dir sehr gern. “ Der Abend ist gerettet.,A2
Die beiden Freundinnen gehen zum Ball.,A2
Es ist ein sehr schöner Abend.,A2
Alle haben viel Spaß und tanzen bis in die Nacht.,A2
Mirko ist gestresst.,A2
Er will umziehen.,A2
In seiner alten Wohnung fühlt er sich nicht mehr wohl.,B1
Seine Mitbewohner nerven ihn.,B1
"Er braucht auch mehr Platz, denn sein Zimmer ist sehr klein.",A2
Deshalb sucht er online nach anderen Wohnungen.,B1
Es gibt so viele Wohnungen.,A2
Die Auswahl ist wirklich groß.,A2
Mirko kann sich nicht entscheiden.,A2
Also bittet er seinen Freund Tom um Hilfe.,A2
"„Ich weiß nicht, welche Wohnung die beste für mich ist.",B1
"Kannst du mir helfen? “, fragt Mirko.",A2
Tom sieht sich die Angebote an.,B1
„Du kannst eine Wohnung in der Stadt nehmen.,A1
Oder du nimmst eine Wohnung in einem Dorf.,A2
In der Stadt sind viele Geschäfte in der Nähe.,A2
"Du kannst mit dem Bus und mit der Bahn fahren, aber es ist sehr laut.",A2
"In einem Dorf ist es ruhig, aber es gibt nur wenige Geschäfte.",A2
"Du brauchst ein Auto, denn dort fährt nur einmal am Tag ein Bus. “",A2
"„Das ist keine leichte Entscheidung“, sagt Mirko.",B1
Er denkt nach.,A2
Was ist ihm wichtiger?,A2
„Ich habe kein Auto.,A2
In der Stadt kann ich überall mit dem Bus hinfahren.,B1
"Meine Freunde wohnen auch alle hier“, sagt Mirko.",A2
Tom nickt.,A2
Er kann die Entscheidung von seinem Freund verstehen.,B1
Mirko beginnt sofort zu suchen.,A2
Er findet eine schöne Wohnung in der Nähe vom Stadtpark.,A2
Hier kann er mit seinem Hund spazieren gehen.,A2
Ein paar Häuser weiter gibt es auch einen Supermarkt.,A2
Dort kann er einkaufen gehen.,A2
Mirkos Freunde wohnen nicht weit.,A2
Heute besucht er Tom.,A2
Sie sitzen zusammen auf dem Balkon und reden.,A2
"„Gefällt dir deine neue Wohnung? “, fragt Tom.",A2
"Sie ist sehr schön“, antwortet Mirko und lächelt.",A2
Er ist zufrieden mit seiner Entscheidung.,A2
Das Leben in der Stadt ist einfacher.,A2
"Alles, was man braucht, ist in der Nähe.",A2
Man braucht kein Auto.,A2
"Wenn Mirko alt ist, zieht er vielleicht in ein Dorf.",A2
Doch jetzt ist er noch jung und lebt lieber in der Stadt.,A2
Marie hat ein Problem.,A2
Sie hat keine interessanten Hobbys.,A2
Deshalb ist ihr oft langweilig.,A2
Marie erzählt Leonie von dem Problem.,A2
Leonie ist Maries beste Freundin.,A2
Sie hat oft gute Ideen.,A2
"„Ich weiß, was du tun kannst.",B1
Komm doch mit zu meinem Kochkurs!,A2
"Vielleicht ist das etwas für dich“, sagt Leonie zu Marie.",A2
Das klingt nach einer guten Idee.,A2
Marie hat früher immer gern gekocht.,B1
„Der Kurs ist am Mittwoch um 18 Uhr.,A2
Ich komme zu dir und hole dich ab.,A2
Dann gehen wir zusammen hin. “ Marie nickt.,A2
"„Sehr gern, das wird bestimmt lustig.",A2
"Ich bin dabei“, sagt sie.",A2
Heute ist endlich Mittwoch.,A2
"Marie freut sich schon sehr, weil heute der Kochkurs ist.",A2
Leonie klingelt an der Tür und holt Marie ab.,A2
Zusammen gehen sie zum Kurs.,A2
Die anderen Teilnehmer begrüßen Marie.,A2
Sarah ist die Köchin und sagt auch freundlich Hallo.,A2
"Sie erklärt Marie, wie alles funktioniert.",B1
Dann geht es los.,A2
Es gibt heute zwei Gerichte: Spaghetti oder Kuchen.,A2
Jeder kann ein Gericht wählen.,A2
Marie denkt kurz nach.,A2
"Dann weiß sie, was sie will.",A2
Das ist ihr Lieblingsessen.,A2
Es ist auch nicht schwer.,A2
"Spaghetti kann wirklich jeder kochen, denkt Marie.",A2
Zuerst macht sie das Wasser heiß.,A2
Nach fünf Minuten kocht es schon.,A2
Jetzt kommen die Nudeln ins Wasser.,A2
"Danach muss Marie die Zutaten für die Soße holen: Zwiebeln, Tomaten und Basilikum.",A2
Sie schneidet die Zwiebeln und die Tomaten in kleine Stücke.,A2
Am Ende kommen alle Zutaten in die Pfanne.,A2
Das sieht schon richtig lecker aus!,A2
"Jetzt muss Marie nur ein bisschen warten, bis alles fertig ist.",A2
"Sie guckt, was die anderen machen.",A2
Leonie backt heute einen Kuchen.,A2
Der sieht auch gut aus.,A2
Alle haben sehr viel Spaß.,A2
Nach ein paar Minuten sind die Spaghetti endlich fertig.,A2
Marie und die anderen setzen sich an den Tisch und essen zusammen.,A2
"„Mhhh, ist das lecker! “ Auch Leonie nimmt etwas von Maries Nudeln.",A2
"„Wow, das sind perfekte Spaghetti!",A2
"Total aldente! “, sagt sie.",A2
In der WG von Lena und Max ist ein Zimmer frei.,A2
"Eine WG ist eine Wohnung, in der mehrere Menschen zusammenleben.",B1
"Jeder hat sein eigenes Zimmer, aber Küche und Bad sind für alle Mitbewohner.",A2
Lena und Max schreiben eine Anzeige für ein Immobilien-Portal: „Schönes und helles Zimmer in 3er-WG frei.,B1
"Wir sind Lena, 22, und Max, 25, und vielleicht bald deine neuen Mitbewohner.",A2
Max studiert Informatik im achten Semester und Lena macht eine Ausbildung zur Altenpflegerin.,B1
Wir kochen und essen oft zusammen.,A2
Am Wochenende spielen wir am liebsten Brettspiele oder gehen tanzen.,A2
Wir sind also definitiv keine Zweck-WG.,B1
Bist du offen und lustig?,A2
Dann schreib uns.,A2
"Wir freuen uns, dich kennenzulernen. “

Viele Menschen antworten auf die Anzeige.",B1
Lena und Max wählen zwei Kandidaten aus: Paul und Julia.,A2
"Paul schreibt, er liebt besondere Tiere.",A2
Und Julia backt den besten Schokokuchen der Welt.,A2
Das klingt wirklich interessant.,A2
Lena und Max wollen die Kandidaten aber erst richtig kennenlernen.,B1
Also laden sie die beiden zu einem WG-Casting ein.,B1
Am nächsten Tag klingelt es an der Tür.,A2
Der erste Kandidat ist da.,A2
Er heißt Paul und ist groß und dünn.,A2
Auf der Nase trägt er eine dicke Brille.,A2
„Ich habe eine Schlange.,A2
"Sie heißt Sissi“, sagt Paul stolz und zeigt Lena und Max ein Foto von einer langen Python.",A2
"Lena mag Tiere auch, aber will sie wirklich eine so große Schlange in der WG haben?",B1
Max ist auch nicht sicher.,A2
"„Komm doch erst einmal herein und sieh dir das Zimmer an“, sagt Max.",B1
Paul sieht sich um.,A2
"Er findet die Wohnung und das Zimmer super, spricht aber nicht viel.",A2
"Max und Lena wollen mehr über Paul wissen, doch seine Antworten sind immer sehr kurz.",B1
Nach 10 Minuten verabschiedet sich Paul wieder und geht aus dem Haus.,A2
Max und Lena sehen sich an.,A2
"„Was denkst du? “, fragt Max.",A2
„Ich weiß nicht.,A2
Ich finde Paul ein bisschen komisch.,A2
"Er hat ja fast nichts gesagt“, antwortet Lena.",A2
„Du hast recht.,A2
Und dann noch Sissi!,A2
"Der Name ist ja süß, aber willst du eine Schlange in der WG? “, fragt Max skeptisch.",B1
"„Ich liebe Tiere auch, aber eine Schlange ist nichts für mich. “ „Ja, gut.",A2
"Dann sagen wir Paul ab. “

Kurze Zeit später klingelt es wieder an der Tür.",B1
Julia ist in einem kleinen Geschäft.,A2
Sie sucht ein Geschenk für ihre Mutter.,A2
Bald entdeckt sie eine schöne Halskette.,A2
"„Diese Halskette wird meiner Mutter sicher gefallen“, denkt Julia.",B1
Sie geht zur Kasse und gibt dem Verkäufer ihre Karte.,A2
"„Tut mir leid, das Kartenlesegerät ist kaputt.",B1
"Können Sie bar zahlen? “, fragt der Verkäufer.",A2
Julia sieht in ihre Geldbörse.,A2
Sie hat kein Bargeld dabei.,A2
"„Nein, leider nicht.",A2
Ich brauche einen Geldautomaten.,A2
"Wo ist der nächste? “, fragt sie leicht gestresst.",B1
Der Verkäufer zeigt nach draußen und sagt: „Gehen Sie geradeaus.,A2
Nach fünf Minuten ist dort ein Geldautomat an der Ecke. “ Julia bedankt sich höflich und verlässt das Geschäft.,B1
"Sie merkt sich den Weg: geradeaus, dann an der Ecke.",A2
Julia geht die Straße entlang und sieht sich genau um.,A2
Aber sie kann keinen Geldautomaten finden.,A2
"Julia ist sicher, dass sie dem Hinweis des Verkäufers gefolgt ist.",B1
Plötzlich bemerkt sie eine Gruppe von Menschen.,A2
Sie stehen zusammen und sehen sich etwas an.,B1
"„Was könnte das sein? “, fragt sich Julia.",A2
Neugierig geht Julia näher.,A2
"Dann sieht sie einen jungen Mann, der eine schwarze Hose und ein schwarzes T-Shirt trägt.",B1
Er jongliert mit Feuerbällen.,B1
Die Menschen klatschen und lachen.,A2
Neben dem Jongleur sitzt ein Straßenmusiker.,A2
Er spielt Gitarre.,A2
Julia bleibt stehen und lächelt.,A2
"Sie ist so begeistert, dass sie den beiden Straßenkünstlern etwas Geld geben will.",B1
"Während Julia ein 2-Euro-Stück in den Hut legt, entdeckt sie plötzlich den Geldautomaten.",B1
Er ist zwischen zwei Geschäften hinter den vielen Menschen versteckt.,B1
"Julia ist glücklich, dass sie den Automaten endlich gefunden hat.",B1
Sie hebt das Geld ab.,A2
Danach geht sie zurück ins Geschäft.,A2
Sie bezahlt die Halskette mit einem 20-Euro-Schein.,A2
"„Das war ein kleines Abenteuer“, denkt sie und lacht leise.",B1
Dann sagt sie,A2
„Auf Wiedersehen! “ und geht aus dem Laden.,A2
Zu Hause gibt Julia ihrer Mutter die Halskette.,A2
Sie erzählt auch von den Straßenkünstlern.,A2
"Julia ist froh, dass sie nicht nur das perfekte Geschenk gefunden hat, sondern auch etwas Schönes erlebt hat.",B1
Anna war noch nie in Berlin.,A2
Sie möchte die Stadt morgen besuchen.,A2
Sie freut sich schon sehr auf die Reise.,A2
Berlin ist eine große und interessante Stadt.,A2
Anna will viele Sehenswürdigkeiten besuchen.,A2
Zum Beispiel das Brandenburger Tor und den Fernsehturm.,A1
"Jetzt muss Anna entscheiden, wie sie nach Berlin fahren will.",A2
Sie hat zwei Möglichkeiten: mit dem Zug oder mit dem Bus.,A2
Beide Optionen haben Vor- und Nachteile.,B1
Anna ist unsicher und bittet ihre Freundin Lisa um Rat.,A2
Lisa sagt: „Mit dem Zug bist du schneller in Berlin.,A2
Der Zug ist auch bequemer.,A2
Du hast mehr Platz für deine Beine.,A2
Aber Zugtickets sind oft teurer als Bustickets.,A2
"Der Bus braucht länger, ist aber günstiger.",A2
Oder hast du ein Deutschlandticket?,A2
"Dann kostet die Fahrt mit Regionalzügen nichts, aber die sind ziemlich langsam.",B1
"Für eine Fahrt mit einem schnellen Zug musst du auf jeden Fall viel zahlen. “

Anna hat kein Deutschlandticket.",B1
Sie denkt nach.,A2
Was ist ihr wichtiger: Zeit oder Geld?,B1
Sie muss sich entscheiden.,B1
Anna entscheidet sich für den Zug.,A2
„Ich möchte die Reise genießen und ausgeruht in Berlin ankommen.,B1
"Ich fahre mit dem IC“, sagt sie zu Lisa.",B1
Anna kauft ein Zugticket für den nächsten Tag.,A2
Am nächsten Morgen fährt Anna zum Bahnhof.,A2
Der Zug ist pünktlich.,A2
"Das passiert nicht oft, aber heute hat Anna Glück.",A2
Sie findet auch sofort ihren Platz und macht es sich bequem.,A2
Bei der Fahrt liest Anna ein Buch und sieht aus dem Fenster.,A2
Die Landschaft zieht schnell vorbei.,B1
Nach vier Stunden kommt der Zug in Berlin an.,A2
Anna ist nicht müde.,A2
Sie nimmt ihre Tasche und steigt aus dem Zug aus.,A2
Am Bahnhof kauft sie einen Stadtplan.,A2
Dann geht sie zu ihrem Hotel.,A2
Am Abend ruft Anna ihre Freundin Lisa an.,A2
"„Die Reise war super! “, erzählt sie.",A2
„Ich hatte viel Platz im Zug und konnte mich gut ausruhen.,B1
"Jetzt bin ich bereit, Berlin zu erkunden.",A2
Morgen besuche ich als Erstes das Brandenburger Tor.,B1
Ich freue mich schon! “,A2
Anna ist 16 Jahre alt.,A2
"Sie lebt mit ihrem Vater Thomas, ihrer Mutter Sabine und ihrem jüngeren Bruder Jonas in einem ruhigen Stadtteil von Hamburg.",A2
Die Familie hat einen Hund.,A2
Er heißt Faust und hat schwarz-weißes Fell.,A2
Alle lieben Faust.,A2
Für heute Abend haben Annas Eltern Freunde zum Abendessen eingeladen.,B1
Sie stehen in der Küche und öffnen den Kühlschrank.,A2
Er ist fast leer.,A2
Nur ein Stück Fleisch und etwas Milch sind im Kühlschrank.,A2
"Also müssen Thomas und Sabine in einen Supermarkt gehen, um Lebensmittel zu kaufen.",A2
"„Anna, Jonas, passt auf das Haus auf und gebt Faust etwas zu essen“, sagt Sabine zu ihren Kindern.",B1
"„Ja klar, Mama“, antworten Anna und Jonas.",A2
Dann gehen die Eltern aus dem Haus.,A2
Anna geht in die Küche und gibt Faust etwas Wasser.,A2
"„Jonas, wir haben kein Hundefutter mehr.",A2
"Was soll Faust jetzt essen? “, sagt Anna.",A2
„Gib ihm doch das Fleisch.,A2
"Es ist im Kühlschrank“, schlägt Jonas vor.",A2
Anna schüttelt den Kopf:,A2
"„Nein, Mama hat gesagt, das Fleisch ist für die Gäste heute Abend. “ „Dann muss Faust heute eben fasten“, antwortet Jonas.",B1
Er soll den ganzen Tag nichts essen?,B1
Das geht doch nicht.,A2
"Dann gebe ich ihm lieber das Fleisch“, sagt Anna und nimmt das Fleisch aus dem Kühlschrank.",B1
Sie legt es auf einen Teller.,A2
Dann stellt sie den Teller auf den Boden und ruft den Hund:,A2
"„Faust, das Essen ist fertig! “

„Faust! “, ruft Anna noch einmal ganz laut.",A2
Doch der Hund kommt nicht.,A2
„Wo ist Faust?,A2
"Warum kommt er nicht? “, fragt Jonas.",A2
„Ich weiß es nicht.,A2
"Wir müssen ihn suchen“, antwortet Anna.",A2
"Die zwei Geschwister suchen im ganzen Haus, aber sie können Faust nirgends finden.",A2
"„Was sollen wir jetzt tun? “, fragt Anna unsicher.",A2
Anna und Jonas sehen sich an.,A2
"„Vielleicht ist Faust im Garten“, sagt Anna.",A2
Die beiden gehen schnell zur Tür und öffnen sie.,A2
"Faust! “, rufen sie laut.",A1
Sie laufen über das Gras und suchen im ganzen Garten nach ihrem Hund.,B1
Plötzlich hören sie etwas.,A2
"„Hast du das gehört? “, fragt Jonas.",A2
"„Ja, das kam von dort hinten.",A2
"Ich glaube, Faust hat sich hinter dem Baum versteckt“, antwortet Anna und zeigt auf den kleinen Baum im hinteren Teil des Gartens.",B1
Die zwei Geschwister laufen zum Baum.,A2
Faust sitzt dort im Schatten und bellt glücklich:,A1
"„Wuff, wuff! “ „Da bist du ja, du frecher Hund! “, ruft Anna.",A2
Sie legt ihre Hand auf den Hund und streichelt ihn hinter den Ohren.,B1
„Dein Abendessen steht in der Küche.,A2
"Komm rein, wenn du Hunger bekommst! “, sagt sie und lacht.",A2
"Anna und Jonas sind froh, dass sie ihren Hund wieder gefunden haben.",A2
Maya ist heute bei Oma Frieda.,A2
Sie hat sich sehr darauf gefreut.,B1
Ihre Oma kocht ein leckeres Mittagessen.,A2
Es gibt Kartoffeln mit Spargel.,A2
Es riecht wirklich gut!,A2
Bei Oma schmeckt es am besten.,A2
„Du hast ja schon alles aufgegessen.,B1
"Soll ich dir noch etwas geben? “, fragt Frieda.",A2
"„Nein danke, Oma! “, sagt Maya.",A2
Sie hat schon viel zu viel gegessen.,B1
„Na gut.,A2
"Den Rest kannst du morgen essen. “

Nach dem Essen setzen sich Maya und ihre Oma auf das Sofa.",A2
Maya sieht ein großes Buch im Schrank.,A2
"„Darf ich mir das ansehen? “, fragt sie.",A2
Ihre Oma nickt.,A2
Maya nimmt das große Buch aus dem Schrank und setzt sich wieder auf das Sofa.,B1
Auf jeder Seite sind ganz viele Fotos.,A2
Auf manchen Bildern ist Frieda noch sehr jung.,A2
Auf anderen Fotos ist sie schon eine alte Frau.,B1
"Erzählst du mir etwas über deine Reisen? “, fragt Maya.",A2
„Ja gern.,A2
Über welches Bild willst du etwas wissen? “ Maya denkt nach.,A2
"Ihr gefallen alle Fotos, aber zwei sehen besonders interessant aus.",B1
Auf dem Foto sitzt ihre Oma auf einer Bank.,A2
„Das Bild ist aus Sibirien.,A2
Ich kann mich gut daran erinnern.,B1
Ich war damals 22 Jahre alt.,A2
Es war eine tolle Zeit.,A2
Wir haben eine Wanderung gemacht.,A2
Ich hatte zwei Pullover und eine Jacke an.,A2
Trotzdem war mir kalt.,A2
Aber es war ein sehr schöner Urlaub. “,A2
"„Ist der Mann auf dem Foto neben dir Opa Alfred? “, fragt Maya.",A2
Ihre Oma lacht.,A2
"„Nein, ich war dort zusammen mit meinem Schulfreund Lukas.",A2
Er hat sich immer über das schlechte Wetter beschwert. “,B1
"„Deine Geschichten sind immer richtig spannend! “, sagt Maya.",A2
"„Danke, das ist sehr lieb.",A2
"Es macht mir viel Spaß, darüber zu reden. “ Sie sitzen sehr lang auf dem Sofa und reden.",A2
"„Das war ein richtig schöner Tag“, sagt Maya.",A2
„Mir hat es auch viel Spaß gemacht.,B1
Du kannst nächste Woche wieder herkommen.,A2
"Dann kann ich dir von anderen Reisen erzählen“, antwortet ihre Oma.",B1
"Familie Müller plant ihren Urlaub.""",A2
Sie geht in ein Reisebüro und lässt sich von einem Angestellten beraten.,B1
Als Reiseziel wählt sie Mallorca aus.,B1
Familie Müller bucht einen Flug auf die Mittelmeerinsel.,A2
Sie bucht außerdem zwei Zimmer in einem großen Hotel direkt am Strand.,B1
Familie Müller badet gerne im Meer.,A2
Am Abflugtag fahren Herr und Frau Müller mit ihren beiden Kindern im Taxi zum Flughafen.,B1
Dort warten schon viele Urlauber.,A2
Alle wollen nach Mallorca fliegen.,A2
Familie Müller hat viel Gepäck dabei: drei große Koffer und zwei Taschen.,A2
Die Taschen sind Handgepäck.,A2
Familie Müller nimmt sie mit in das Flugzeug.,A2
Am Flugschalter checkt die Familie ein und erhält ihre Bordkarten.,B1
Die Angestellte am Flugschalter erklärt Herrn Müller den Weg zum Flugsteig.,B1
Es ist nicht mehr viel Zeit bis zum Abflug.,A2
Familie Müller geht durch die Sicherheitskontrolle.,A1
"Als alle das richtige Gate erreichen, setzen sie sich in den Wartebereich.",B1
Kurz darauf wird ihre Flugnummer aufgerufen und Familie Müller steigt mit vielen anderen Passagieren in das Flugzeug nach Mallorca.,B1
Beim Starten fühlt sich Herr Müller nicht wohl.,B1
Ihm wird ein wenig übel.,B1
Nach zwei Stunden landet das Flugzeug.,A2
Am Gepäckband warten alle Passagiere noch auf ihr fehlendes Gepäck.,B1
Danach kann endlich der Urlaub beginnen.,B1
Es gibt sehr viele verschiedene Berufe.,A2
Ein Lehrer unterrichtet Schüler und bringt ihnen verschiedene Dinge bei.,A2
In einer Volksschule lehren Lehrer den Kindern das Lesen und Schreiben.,B1
Lehrer arbeiten auch mit älteren Kindern und Jugendlichen.,A2
"Dort unterrichten sie meistens ein bestimmtes Fach, Mathematik oder Sprachen zum Beispiel.",B1
"Ein anderer Beruf, bei dem man auf der Universität studieren muss: Arzt.",B1
Ein Arzt behandelt kranke Leute in einer Praxis oder im Krankenhaus.,A2
"Er untersucht die Menschen und stellt fest, was ihnen fehlt.",B1
Er verschreibt Medikamente oder andere Behandlungen.,A2
"Es gibt viele verschiedene Ärzte, manche sind Chirurgen, andere sind Ohrenärzte oder Zahnärzte.",B1
Handwerker lernen ihren Beruf in einer Berufsausbildung.,A2
Ein Handwerker ist zum Beispiel ein Bäcker.,A2
Er stellt Brot her.,A2
"Dazu muss er wissen, wie man Mehl, Salz, Hefe und andere Zutaten mischt.",B1
"Bäcker können sehr viele verschiedene Sorten Brot machen, auch süßes Gebäck.",A2
Ein Bauer arbeitet auch mit Lebensmitteln.,A2
"Auf seinem Hof hält er Tiere wie Kühe, Hühner oder Schweine.",A2
Auf den Feldern pflanzt er Getreidesorten oder Gemüse und Obst.,B1
Das liefert er an Supermärkte oder verkauft es selbst auf einem Markt.,B1
Ein Koch arbeitet auch mit Lebensmitteln.,A2
In einem Restaurant bereitet er die Speisen zu.,B1
Seine Ausbildung macht er entweder in einer Schule oder in einer Lehre.,B1
Ein Verkäufer arbeitet in einem Laden.,A2
"Dort verkauft er an die Kunden, was der Laden bietet: Das können Lebensmittel sein, aber auch Kleidung oder Autos.",B1
Marco ist neu in der Stadt.,A2
"Er hat gestern einen Brief an seine Eltern geschrieben, heute möchte er ihn zur Post bringen.",B1
Aber wo ist die Post?,A2
Marco hat die Adresse im Internet nicht gefunden.,A2
Er muss jemanden fragen.,A2
An der Bushaltestelle steht ein alter Mann.,A2
"„Entschuldigung, wo ist bitte die Post? “, fragt Marco höflich.",A2
"„In der Goethestraße“, antwortet der alte Mann.",A2
"„Muss ich mit dem Bus fahren oder kann ich zu Fuß gehen? “, fragt Marco.",A2
„Dieser Bus hält direkt vor der Post.,A2
"Sie müssen bei der dritten Station aussteigen“, sagt der alte Mann.",A2
„Ich möchte lieber zu Fuß gehen.,A2
"Wie komme ich zur Goethestraße? “, fragt Marco.",A2
