sentence,difficulty,text_id,sentence_length,sentence_tokens,total_tokens_per_call,difficulty_reviewed,readability
"“

Sofia geht in ihr Zimmer.",A1,501,6,,,A1,100.24
Timo stellt die Chips auf den Tisch.,A1,515,7,,,A1,115.13
"Sie hat ein sehr schönes, grünes Kleid dabei.",A2,531,8,,,A1,114.12
Simon soll Kaffee und Kuchen servieren.,A2,528,6,,,A1,90.77
Viele Menschen kommen auch nach St.,B2,461,6,7.0,111.0,A1,90.77
Heute führt er Mountainbike- Touren .,B2,461,6,9.0,114.0,A1,83.32
"/ Er schießt vorbei, er schießt vorbei!",C1,314,7,13.0,120.0,A1,90.77
Er hat die besten Fans der Welt.,A2,527,7,,,A1,115.13
"„Ach so, es ist nur eine Uhr.",A1,506,7,,,A1,115.13
"Mirkos Mutter sagt: „Hallo Mirko, da bist du ja.",A1,492,9,,,A1,96.18
Was kann man hier denn kaufen?,B2,448,6,7.0,110.0,A1,99.23
Laura sieht auch ein Foto von der Nordsee.,A1,481,8,,,A1,80.28
Menschen gehen im Durchschnitt 5. 000 Schritte am Tag.,A2,594,9,,,A1,100.75
"Hallo, ich brauche einen Skihelm .",B2,449,6,8.0,113.0,A1,83.32
Die Kassiererin sagt: „Das macht 15 Euro.,A1,499,7,,,A1,106.67
Sarah ist die Köchin und sagt auch freundlich Hallo.,A2,534,9,,,A1,96.18
Es ist 9:30 Uhr und Sofia sitzt in der Küche am Tisch.,A1,501,12,,,A1,110.06
Von ihm gibt es circa 350 Gemälde.,A2,731,7,,,A1,106.67
In dem Laden probiert Laura verschiedene Kleider an.,A2,530,8,,,A1,71.82
Habibe aus Afghanistan hat ein Geheimnis.,B2,444,6,9.0,114.0,A1,99.23
Ich liebe die Avocado .,B2,481,5,6.0,109.0,A1,50.5
Hannah arbeitet jetzt in einer Bibliothek.,A1,503,6,,,A1,14.63
"Die Landschaft, die Straßen und all die Häuser.",B2,453,8,10.0,116.0,A1,88.74
Insgesamt waren es 130. 000 Euro!,A2,723,6,,,A1,56.93
Dann fährt Timo zurück nach Hause.,A1,515,6,,,A1,116.15
Sie öffnet die Tür und geht in den Raum.,A1,471,9,,,A1,113.1
Also will sie eine Reise machen.,A1,481,6,,,A1,99.23
"Ja, wollen wir mal… HILDEGARD SCHWEINSBERG: Pogi, noch ein Bier?",B2,465,10,24.0,128.0,A1,86.71
Also ist die Fahrt sehr lang.,A1,514,6,,,A1,99.23
Erna kennt keine Menschen auf dem Festival.,A1,473,7,,,A1,55.91
Herr Fink sieht auf den Kalender.,A1,486,6,,,A1,99.23
Natürlich gibt es dort auch Pullover.,A1,507,6,,,A1,99.23
Und auf den Bergen liegt Schnee.,A1,468,6,,,A1,116.15
Im Urlaub muss Laura nicht arbeiten.,A1,481,6,,,A1,73.85
"Moritz, um auf dem Silvaplanersee zu surfen.",B2,461,7,15.0,119.0,A1,64.37
Nach nur drei Stunden kommen Laura und Tobi auf Mallorca an.,A1,482,11,,,A1,68.77
"na, sagen wir mal 400 Euro.",B2,472,6,9.0,112.0,A1,99.23
"Wir merken das, weil wir schwitzen.",A2,599,6,,,A1,116.15
Dina geht zur Tür und macht sie auf.,A1,495,8,,,A1,105.66
Sie zieht ihre Jacke aus und zieht den Pullover an.,A1,507,10,,,A1,112.09
Sie heißen Jana und Tim und sind sehr nett.,A1,465,9,,,A1,113.1
Dann laufen sie mal nach rechts oder links.,A2,590,8,,,A1,114.12
"Ja, dann ist es so, dass Sie heutzutage .",B2,449,9,11.0,117.0,A1,105.66
Er nimmt auch ein Handtuch und seine Badehose.,A1,501,8,,,A1,88.74
Dann geht sie zu ihrem Hotel.,A2,541,6,,,A1,99.23
Insgesamt sind das 100. 000 Kilometer Blutgefäße!,A2,605,7,,,A1,34.08
Mohammed hat kein Essen zu Hause.,A1,511,6,,,A1,90.77
Eine Woche werden sie hier sein.,A1,521,6,,,A1,90.77
Anna zieht ihre Jacke an und nimmt ihre Tasche.,A1,499,9,,,A1,104.64
Lotta und ihr Vater warten jetzt schon zwei Stunden.,A1,520,9,,,A1,87.72
Anastasia steht auf und zieht sich an.,A1,474,7,,,A1,81.29
Das Seminar beginnt in zwei Minuten.,A1,469,6,,,A1,56.93
Auf dem Boden sitzt ein Vogel.,A1,493,6,,,A1,90.77
"“

Die zwei Geschwister fahren los.",A1,502,6,,,A1,100.24
Dann schmoren wir die im Ofen.,B2,455,6,9.0,114.0,A1,116.15
100 Gramm enthalten nur 20 Kilokalorien.,A2,637,6,,,A1,56.93
Sie öffnet die Tür vom Seminarraum.,A1,470,6,,,A1,73.85
Müssen Sie halt jetzt .,B2,449,5,7.0,109.0,A1,92.8
"“

Der Kellner bringt das Essen.",A1,483,6,,,A1,83.32
Lena nimmt den Vogel in die Hand.,A1,494,7,,,A1,106.67
"„Frau Müller, ich habe ein Problem.",A2,529,6,,,A1,99.23
In der Stadt sind viele Geschäfte in der Nähe.,A2,532,9,,,A1,113.1
"Und, wie war das Wetter heute?",A2,735,6,,,A1,99.23
"Sie gibt Dina, Edward und ihrem Mann ein Stück.",A1,496,9,,,A1,96.18
Deutsch landet auf Platz 12: 133 Millionen Menschen sprechen Deutsch.,A2,570,10,,,A1,78.25
"Oh nein, es ist 10:13 Uhr.",A1,469,6,,,A1,116.15
Sie trinkt einen Tee und sieht aus dem Fenster.,A1,501,9,,,A1,104.64
Sie mag die Musik von Silbermond sehr.,A1,469,7,,,A1,89.75
Und dann heißt es in Wien: „Guten Appetit!,B2,473,8,13.0,117.0,A1,105.66
Sie kann die Tasche auch nicht sehen.,A1,502,7,,,A1,106.67
„Das ist so unverwüstlich .,C1,311,5,9.0,114.0,A1,75.88
Die beiden gehen schnell zur Tür und öffnen sie.,A2,543,9,,,A1,96.18
“ und geht aus dem Laden.,A2,539,6,,,A1,117.16
Sie beginnt am Samstag um 19 Uhr.,A1,466,7,,,A1,81.29
Der Gipfel Göbsi bei Gonten mitten in der Schweiz.,B2,450,9,14.0,121.0,A1,96.18
Jetzt ist der Junge wieder glücklich.,A1,504,6,,,A1,90.77
Eine Karte ist für Erna und eine Karte ist für ihre Freundin Sofia.,A1,473,13,,,A1,92.12
Ist die Nordsee auch weit weg?,A1,481,6,,,A1,99.23
"Hey Leute, guckt euch mal das Wetter an.",B2,467,8,11.0,116.0,A1,105.66
1. Dann bekommt Tim den Ball.,A2,527,6,,,A1,116.15
Mirko steigt aus dem Zug aus.,A1,492,6,,,A1,116.15
Eine Fahrkarte nach München kostet 60 Euro.,A1,498,7,,,A1,106.67
Männer und Frauen gehen zur Arbeit und Kinder gehen zur Schule.,A1,524,11,,,A1,94.15
Tanja kommt wieder aus der Umkleidekabine.,A1,507,6,,,A1,56.93
Edward hat Ballons in der Hand.,A1,496,6,,,A1,90.77
Sofia sieht nach links und nach rechts.,A1,502,7,,,A1,115.13
Anna und Jonas sehen sich an.,A2,543,6,,,A1,90.77
Dann essen sie zusammen den Kuchen.,A1,496,6,,,A1,90.77
Es gibt viele Parks und Kirchen.,A1,482,6,,,A1,116.15
Nach fünf Minuten ist Anna da.,A1,499,6,,,A1,99.23
Spaghetti esse ich jeden Tag zu Hause.,A1,525,7,,,A1,89.75
Fast die Hälfte sagt: „Mein Lieblingsland ist Deutschland.,A2,700,8,,,A1,88.74
Dinas Eltern sind auch in der Küche.,A1,495,7,,,A1,89.75
“ Frau Müller gibt ihr einen Zettel und einen Stift.,A2,529,10,,,A1,113.1
In dem Text geht es um Pferde.,A1,520,7,,,A1,115.13
Neben dem Boot sitzt ein Mann auf einem Stuhl.,A1,501,9,,,A1,113.1
Also zieht Willi seine Jacke an.,A1,489,6,,,A1,99.23
Allein in diesem Zimmer sind sechs davon.,B2,469,7,9.0,113.0,A1,106.67
Sein Freund Felix sagt oft: „Emil ist super.,A1,475,8,,,A1,80.28
Er sitzt hinten und spricht mit zwei Studenten.,A1,470,8,,,A1,80.28
"Und ein geübter Jodler hört sich so an: „Hollerädiri, Hollerodiri, Hollerädiri, Hollerädiri, Hollerodiri, Hollerädiri, Hollerädiri, Hollerodiri, Hollerädiri, Hollerädiri, Hollerodiridiri.",C1,306,19,71.0,183.0,A1,102.95
Warum gibt es hier keine Milch?,A1,512,6,,,A1,99.23
", ihr Gatte, und zehn weitere Familienangehörige.",C1,286,7,13.0,120.0,A1,31.55
Edward macht aus einem Ballon einen Hund.,A1,496,7,,,A1,89.75
Dann sind Sie 10 Stunden unterwegs.,A2,709,6,,,A1,73.85
"„Tim, am Samstag feiere ich meinen 70. Geburtstag.",A2,526,8,,,A1,88.74
"Ach so, in dem Karton sind viele Bücher.",A1,505,8,,,A1,88.74
Alexander trinkt ein bisschen Wasser und sieht zum See.,A1,501,9,,,A1,87.72
Die Blumen wachsen in ihrem Garten.,B2,456,6,7.0,112.0,A1,90.77
Jeden Tag mindestens 50 Bier gezapft .,B2,465,7,11.0,117.0,A1,90.77
"Norwegen, Schweden, Dänemark, Deutschland, die Niederlande, England und Schottland.",A2,664,9,,,A1,28.5
"Erna ist sehr glücklich, denn morgen ist ein Festival.",A1,473,9,,,A1,62.34
Lukas ist jetzt schon in der Schweiz.,A1,468,7,,,A1,106.67
Insgesamt ist die Strecke 76 Kilometer lang.,B2,476,7,10.0,118.0,A1,55.91
Heute ist sein erster Tag im Café am Markt.,A2,528,9,,,A1,104.64
Wollen wir an den See fahren?,A1,501,6,,,A1,116.15
„Das ist deine Entscheidung.,A2,526,4,,,A1,92.8
Bayerns König Ludwig II.,C1,308,4,7.0,112.0,A1,75.88
Alle ihre Freunde kommen und feiern zusammen.,A2,530,7,,,A1,81.29
"„Ich mache ein paar Brote“, sagt Alexander.",A1,501,7,,,A1,106.67
"Anastasia liest:

„Hallo Frau Wagner,

mein Name ist Max Müller.",A1,466,10,,,A1,61.33
Nach 30 Minuten ist Tim am Flughafen.,A1,524,7,,,A1,115.13
Sie hat Tanjas Jacke in der Hand.,A1,508,7,,,A1,106.67
Zu Hause ruft Erna Sofia an.,A1,465,6,,,A1,99.23
Manchmal haben die Kunden eine Frage.,A1,503,6,,,A1,90.77
Eigentümer bleiben die User .,B2,470,5,7.0,112.0,A1,75.88
Tom Colm geht auf die Bertold-Brecht-Oberschule.,B2,478,6,15.0,118.0,A1,56.93
Er will nach draußen gehen und das Meer sehen.,A1,489,9,,,A1,104.64
Der Fund: 12 deutsche Granaten und eine britische.,B2,480,8,13.0,116.0,A1,88.74
Dann sieht sie das Papier an.,A1,466,6,,,A1,90.77
Jana sagt: „Willst du mit uns zusammen feiern?,A1,465,8,,,A1,105.66
"„Bäääh, da sind Tomaten auf meiner Pizza.",A1,484,7,,,A1,64.37
Ralf und Andreas gehen heute in den Park.,A1,493,8,,,A1,105.66
Am Ende kommen alle Zutaten in die Pfanne.,A2,535,8,,,A1,80.28
Thalia sieht nach links und nach rechts.,A1,471,7,,,A1,115.13
Das sind circa zwei kleine Gläser am Tag.,A2,705,8,,,A1,88.74
Bei einem Erwachsenen rund 15-mal pro Minute.,A2,601,7,,,A1,81.29
"“

„Ist der Mann auf dem Foto neben dir Opa Alfred?",A2,545,11,,,A1,95.17
Dort sieht sie den Jungen wieder.,A1,470,6,,,A1,99.23
Das ist ihr Dankeschön für Lisas Hilfe.,A1,500,7,,,A1,106.67
Nach der neuesten Statistik sind das 53 %.,A2,714,8,,,A1,106.67
Langsam geht Willi in das Wasser.,A1,490,6,,,A1,99.23
Sadja und Fatma sind sehr müde von der Reise.,A1,522,9,,,A1,96.18
Wir kochen und essen oft zusammen.,A2,536,6,,,A1,90.77
„Der Stammtisch ist jeden Mittwoch um neunzehn Uhr.,A1,487,8,,,A1,80.28
Laura und Kilian sind allein im Kino.,A1,510,7,,,A1,81.29
In Deutschland sind das angeblich circa 9 %.,A2,737,8,,,A1,81.29
Die ganze Familie sitzt noch im Garten.,A2,527,7,,,A1,89.75
Anna geht in die Küche und gibt Faust etwas Wasser.,A2,542,10,,,A1,86.71
Lotta ist acht Jahre alt und geht in die dritte Klasse.,A1,519,11,,,A1,102.61
"„Jonas, wir haben kein Hundefutter mehr.",A2,542,6,,,A1,73.85
"“

„Aber jetzt muss ich etwas trinken.",A1,502,7,,,A1,90.77
Der Tierarzt sieht den Vogel an.,A1,494,6,,,A1,90.77
Sie geht aus dem Haus und läuft zum Supermarkt.,A1,499,9,,,A1,96.18
"“

„Und wo ist das Schwimmbad?",A1,486,6,,,A1,100.24
Sie ziehen ihre Pyjamas an und putzen sich schnell die Zähne.,A1,522,11,,,A1,94.15
"„Ja, das kam von dort hinten.",A2,543,6,,,A1,99.23
Am Nachmittag gehen Laura und Tobi in der Stadt spazieren.,A1,482,10,,,A1,78.25
Der Zug fährt aus dem Bahnhof.,A1,524,6,,,A1,99.23
Er macht eine Ausbildung zum Mechaniker.,A1,483,6,,,A1,90.77
Die Natur in Bayern ist sehr schön.,A1,476,7,,,A1,106.67
Laura wohnt und arbeitet in Hamburg.,A1,481,6,,,A1,56.93
de“ gibt es seit einem halben Jahr.,B2,449,7,10.0,113.0,A1,106.67
Auch die Batterien werden getrennt .,B2,463,6,8.0,113.0,A1,32.56
„Wir möchten mit dem Boot fahren.,A1,501,6,,,A1,99.23
Es kommt von unten aus dem Keller.,A1,505,7,,,A1,106.67
"N. Himmer, „Zentimetercheck“, https://www.",A2,605,4,,,A1,33.58
Cuan Acar gibt nicht auf .,B2,479,6,8.0,111.0,A1,117.16
“ Danke nach Basel für diese Information!,A2,686,7,,,A1,73.85
"Ohne Öl macht der Motor „krack, krack“.",A1,468,7,,,A1,106.67
Die Zwei gehen in ein Café.,A1,517,6,,,A1,116.15
Erzählst du mir etwas über deine Reisen?,A2,544,7,,,A1,106.67
Das Boot ist wieder auf dem See.,A1,502,7,,,A1,115.13
“ A ist der erste Buchstabe im deutschen Alphabet und Z der letzte.,A2,609,13,,,A1,76.22
Er ist noch in seinem Zimmer.,A1,501,6,,,A1,99.23
In der Küche ist auch Dinas Bruder.,A1,495,7,,,A1,89.75
Sie steigt aus und sieht auf ihr Handy.,A1,469,8,,,A1,114.12
"Im Restaurant kann man etwas essen: Pizza, Pasta, Burger und Pommes.",A1,485,11,,,A1,68.77
Gibt es die auch noch mal?,C1,301,6,8.0,111.0,A1,116.15
10 Minuten später klingelt Mona an der Tür.,A2,531,8,,,A1,105.66
Ralf hat Muffins in seinem Rucksack.,A1,493,6,,,A1,99.23
Sie schneidet die Zwiebeln und die Tomaten in kleine Stücke.,A2,535,10,,,A1,86.71
Luan will eine Pizza Margherita haben.,A1,483,6,,,A1,73.85
"Vielen Dank für Ihre Hilfe, Frau Meier!",A1,506,7,,,A1,89.75
Dann sieht sie Tim und sagt: „Hallo Tim!,A1,498,8,,,A1,105.66
Die Bestseller sind seine Selfie-Videos .,B2,457,6,9.0,113.0,A1,66.4
"„Sieh mal, da ist eine Insel“, sagt Sofia.",A1,501,8,,,A1,105.66
Über 2500 Autos in der Nähe von Hamburg.,B2,463,8,11.0,116.0,A1,88.74
Dann gehen die Eltern aus dem Haus.,A2,542,7,,,A1,106.67
"„Schade“, sagt der Mann am Telefon.",A1,488,6,,,A1,99.23
Danach geht sie zurück ins Geschäft.,A2,539,6,,,A1,116.15
Bayern ist so eine schöne Gegend.,B2,453,6,8.0,112.0,A1,99.23
"“, sagt sie zu der Frau.",A1,508,6,,,A1,117.16
Lena wartet im Park auf ihre Freunde.,A1,494,7,,,A1,106.67
Einer von ihnen ist Aedan Gibson.,B2,466,6,9.0,113.0,A1,73.85
Dann setzen sie sich auf ihre Betten.,A1,522,7,,,A1,89.75
Max Murawski ist 22 Jahre alt.,B2,467,6,10.0,113.0,A1,90.77
Kennen Sie die deutsche Stadt Essen?,A2,744,6,,,A1,90.77
Sie besteht aus nur sieben Schülerinnen und Schülern.,C1,307,8,10.0,117.0,A1,80.28
"„Es tut mir leid, aber ich bin krank.",A1,473,8,,,A1,114.12
Herr Schmidt zeigt Hannah ein Buch.,A1,503,6,,,A1,99.23
"“, sagt Hannah und gibt ihm ein Kinderbuch.",A1,504,8,,,A1,89.75
Die sind zwölf Prozent – wir sind .,B2,460,8,8.0,113.0,A1,116.15
Nach zwei Minuten kommt sie zurück.,A1,506,6,,,A1,116.15
Timo geht durch das Haus und öffnet die Tür.,A1,516,9,,,A1,113.1
"Na, wäre das was für Sie?",A2,602,6,,,A1,116.15
Marc Kromer ist Grafikdesigner .,B2,459,5,8.0,113.0,A1,75.88
Alle steigen aus dem Bus aus.,A1,521,6,,,A1,116.15
Er nimmt die Tasche und geht zu seinem Auto.,A1,476,9,,,A1,104.64
Das ist wirklich ganz schön lang!,A2,594,6,,,A1,99.23
Bayern wie aus dem Bilderbuch .,B2,453,6,8.0,111.0,A1,83.32
Am nächsten Tag klingelt es an der Tür.,A2,536,8,,,A1,88.74
Das war vor 57 Jahren.,B2,465,5,7.0,110.0,A1,117.16
Willi geht aus dem Haus und setzt sich in sein Auto.,A1,489,11,,,A1,94.15
Wer oder was macht das Geräusch?,A1,522,6,,,A1,116.15
"„Ja klar, Mama“, antworten Anna und Jonas.",A2,542,7,,,A1,89.75
Insgesamt haben wir heute vier Hausbesuche.,B2,484,6,10.0,115.0,A1,31.55
"Und da ist … Hallo, ich hab’ Sie auf dem Zettel.",B2,448,11,15.0,119.0,A1,103.63
Fatma und Sadja gehen in die neunte Klasse.,A1,521,8,,,A1,80.28
Dann macht Timo die Musik an und gibt allen eine Limonade.,A1,516,11,,,A1,102.61
Das Fußballspiel beginnt auch um 15 Uhr.,A2,526,7,,,A1,81.29
Soll ich dir noch etwas geben?,A2,544,6,,,A1,99.23
Vor Herrn Fink steht ein Mann mit einem Kind.,A1,486,9,,,A1,96.18
Dort werden nur lustige Videos mit Katzen und Hunden gezeigt.,A2,722,10,,,A1,95.17
Im Zug sitzen nur drei Personen.,A1,524,6,,,A1,73.85
In Orten wie dem österreichischen St.,B2,484,6,8.0,113.0,A1,56.93
"„Vielen Dank, Sie sind sehr nett!",A1,508,6,,,A1,99.23
Dann nimmt Andreas den Ball und fragt: „Wollen wir Fußball spielen?,A1,493,11,,,A1,94.15
Nur ein Stück Fleisch und etwas Milch sind im Kühlschrank.,A2,542,10,,,A1,103.63
"“

Am nächsten Tag fährt Erna auf das Festival.",A1,465,9,,,A1,71.82
Und wie viel soll man täglich trinken?,A2,665,7,,,A1,115.13
Auf 70. 000 Quadratmetern: alles Schrott .,B2,463,7,14.0,118.0,A1,99.23
/ Nein ich trag keine Tracht.,C1,320,6,8.0,112.0,A1,100.24
die Melitta Unternehmensgruppe Bentz KG.,B2,447,5,9.0,115.0,A1,83.32
"“

„Ich glaube, ich komme nicht mit.",A2,531,7,,,A1,116.15
Das ist eine Strecke von Berlin nach Helsinki.,A2,711,8,,,A1,105.66
Chefkoch Markus Brunner zeigt sein Rezept.,B2,473,6,9.0,114.0,A1,99.23
Es gibt heute zwei Gerichte: Spaghetti oder Kuchen.,A2,534,8,,,A1,105.66
Mona und Amira sagen Danke und Tschüss.,A1,518,7,,,A1,106.67
"Tanja sucht und sucht, aber sie kann die Jacke nicht finden.",A1,508,11,,,A1,94.15
Simon ist neu hier und lernt noch.,A2,529,7,,,A1,89.75
Ich war damals 22 Jahre alt.,A2,545,6,,,A1,116.15
Also geht sie in die Küche und macht einen Tee.,A1,505,10,,,A1,103.63
Ab zum TÜV Jedes Auto in Deutschland muss zum TÜV.,C1,299,10,14.0,119.0,A1,95.17
Ich finde die Musik so schön.,B2,477,6,7.0,110.0,A1,116.15
Er heißt Paul und ist groß und dünn.,A2,537,8,,,A1,114.12
"Komm ins Haus“, sagt Dinas Vater zum Clown.",A1,496,8,,,A1,105.66
Auf dem Foto sitzt ihre Oma auf einer Bank.,A2,545,9,,,A1,96.18
Eine Frau und ein Mann steigen aus.,A1,513,7,,,A1,115.13
Das Wetter ist schön und die Sonne scheint.,A1,517,8,,,A1,105.66
Das sind nicht nur die Unternehmen.,C1,318,6,7.0,110.0,A1,99.23
Jetzt ist unser Sohn hier bei uns.,A1,492,7,,,A1,89.75
Sie sucht ein Geschenk für ihre Mutter.,A2,538,7,,,A1,106.67
Und für meine Frau bitte Nudeln mit Tomatensoße.,A1,483,8,,,A1,88.74
Möchtest du auch kommen?,B2,444,4,7.0,111.0,A1,75.88
Herr Fink arbeitet im Hotel Schöndorf.,A1,485,6,,,A1,56.93
Es beginnt meist mit einer Diät.,C1,285,6,8.0,113.0,A1,73.85
Er lebt im westdeutschen Boppard am Rhein.,B2,451,7,12.0,117.0,A1,89.75
“Dann gibt die Frau Tanja die Jacke zurück.,A1,508,8,,,A1,105.66
"Sie öffnet schnell das Geschenk: Oh, ein Buch über Hunde!",A1,495,10,,,A1,112.09
Sie sind sehr bequem.,B2,462,4,5.0,110.0,A1,92.8
Nach zwei Wochen ist der Vogel gesund.,A1,494,7,,,A1,106.67
Er setzt sich neben Lottas Bett.,A1,519,6,,,A1,90.77
"“

Tim hat Glück, denn er hat genug Geld dabei.",A1,498,10,,,A1,113.1
"“

„Auf Wiedersehen“, sagen Sofia und Alexander.",A1,502,7,,,A1,73.85
Es kostet mehr als 10. 000 Euro.,A1,503,7,,,A1,106.67
Sie nimmt ihn und sagt Danke.,A1,496,6,,,A1,116.15
Es ist 8:30 Uhr und Tim hat noch 90 Minuten.,A1,524,10,,,A1,112.09
Die ist hier auch sehr lecker.,A1,525,6,,,A1,90.77
"Zum Frühstück gibt es Eier, Milch und Schinken vom Hof.",B2,450,10,13.0,123.0,A1,103.63
Danach geht sie in die Küche.,A1,474,6,,,A1,116.15
Marie und die anderen setzen sich an den Tisch und essen zusammen.,A2,535,12,,,A1,84.68
Der Verkäufer zeigt nach draußen und sagt: „Gehen Sie geradeaus.,A2,538,10,,,A1,103.63
Lena legt die Tasche auf den Boden.,A1,493,7,,,A1,106.67
"Das ist unsere Ente Peking, das ist gezupftes Entenfleisch.",B2,455,9,19.0,123.0,A1,87.72
Die zwei Geschwister stehen auf und gehen schnell zum Boot.,A1,502,10,,,A1,95.17
"Der Mann lächelt und sagt: „Sehr gerne, das freut mich.",A1,502,10,,,A1,112.09
Jetzt kann Tim die Stadt sehen.,A1,524,6,,,A1,90.77
"Ja, also: ‚Ich hab ‘n Gwandgschäft und mein Gwandkasten.",C1,323,9,20.0,126.0,A1,87.72
Mona muss heute zu Fuß nach Hause gehen.,A1,518,8,,,A1,114.12
Beim Deutsch-Stammtisch können Sie Deutsch sprechen.,A1,487,6,,,A1,99.23
Schönen guten Morgen!,B2,448,3,5.0,110.0,A1,59.97
"Und auf Ben folgen Paul, Leon, Finn/Fynn (mit „i“ oder „y“) und Elias.",A2,658,13,,,A1,92.12
Auf dem Tisch steht ein Kuchen.,A1,495,6,,,A1,99.23
Ralf und Andreas legen die Teller und Gläser wieder in die Tasche.,A1,494,12,,,A1,84.68
"„Für meine Kinder eine Pizza Margherita und eine Pizza mit Schinken, bitte.",A1,483,12,,,A1,84.68
Sie isst ein Brot mit Honig und trinkt eine Tasse Kaffee.,A1,474,11,,,A1,102.61
Nach einer Stunde steht eine Frau neben Erna.,A1,465,8,,,A1,80.28
Es ist ein sehr schöner Abend.,A2,531,6,,,A1,99.23
"Und wir haben verschiedene Sorten, Trüffel .",B2,461,7,12.0,115.0,A1,90.77
Die Familien bekommen eine Urkunde und ein Geschenk.,A2,593,8,,,A1,80.28
Also steigt er in den Zug ein.,A1,492,7,,,A1,106.67
Was zahle ich denn dafür?,B2,449,5,7.0,111.0,A1,117.16
"Paul schreibt, er liebt besondere Tiere.",A2,536,6,,,A1,99.23
"“

Um 14 Uhr kommen viele Gäste.",A2,528,7,,,A1,99.23
Montags und freitags hat die Hotel-Bar geöffnet.,A1,485,7,,,A1,81.29
Hier werden alle Figuren präsentiert .,B2,458,6,6.0,112.0,A1,49.48
Laura geht mit ihrem Freund Kilian ins Kino.,A1,509,8,,,A1,71.82
Hier erstreckt sich das Wattenmeer .,B2,482,6,10.0,113.0,A1,49.48
Sie geht ins Badezimmer und putzt ihre Zähne.,A1,474,8,,,A1,88.74
Auch Paiman kann kaum lesen und schreiben.,B2,444,7,9.0,115.0,A1,115.13
"Ah, okay, das gab es schon mal?",B2,441,7,10.0,113.0,A1,115.13
"Ja, dann sind wir zurückgekommen.",B2,448,5,9.0,112.0,A1,83.32
Sie feiern heute alle zusammen Annas Geburtstag.,A1,525,7,,,A1,81.29
Die Polizistin geht aus dem Haus und fährt weg.,A1,506,9,,,A1,113.1
Lena nimmt oft eine Handvoll Schnee in den Mund und isst ihn.,A2,749,12,,,A1,101.6
Vor dem Haus steht ein Auto.,A1,505,6,,,A1,90.77
"“„Hallo, ein Stammtisch ist eine Gruppe.",A1,487,6,,,A1,99.23
"Nein, das ist nicht der Fall.",A2,720,6,,,A1,116.15
"Sie ist glücklich, denn ihr Geburtstag ist sehr schön.",A1,496,9,,,A1,96.18
Sie hat etwas in der Hand.,A1,506,6,,,A1,99.23
