sentence,difficulty,sentence_length
Hier sind die Berge sehr hoch.,A1,6
Veronika liebt Tiere.,A1,3
Im Internet sieht Laura ein Foto.,A1,6
Ich bin Lehrerin.,A1,3
Aber der Zug kommt nicht.,A1,5
Tanja geht in die Kabine.,A1,5
Die Stühle im Restaurant sind blau und die Tische sind gelb.,A1,11
Dann gehen sie weg.,A1,4
"Zeichnen ist nicht schwer, das ist leicht.",A1,7
"„Sieben Euro, bitte. “

Mohammed gibt ihm das Geld.",A1,9
Die Zwei sind sehr glücklich.,A1,5
Die Sonne scheint.,A1,3
Mirko wartet zwei Stunden.,A1,4
Wir wohnen im Stadtzentrum von Köln.,A1,6
Dann gehen die Zwei schlafen.,A1,5
Sie ist stark.,A1,3
Meine Nummer ist die 0160 95521364.,A1,6
Haben Sie Zeit?,A1,3
Sie stehen vor einem Hotel.,A1,5
Danach spielt Dina mit dem Ballon.,A1,6
"Hallo! “, sagt Alexander sehr laut.",A1,6
"Komm ins Haus“, sagt Dinas Vater zum Clown.",A1,8
Und sorry nochmal .,A1,4
Dann zieht sie sich an.,A1,5
Tim ist glücklich.,A1,3
"„Entschuldigung, das ist meine Jacke“, sagt sie zu der Frau.",A1,10
Schon so spät?,A1,3
Sandra will eine Fahrkarte kaufen.,A1,5
In dem Text geht es um Pferde.,A1,7
Dann sieht sie Tim und sagt: „Hallo Tim!,A1,8
"Es ist so alt und die Fenster und Türen sind kaputt“, sagt Sadja.",A1,13
Adelina ist glücklich und lacht wieder.,A1,6
Das Wasser schmeckt nach Salz.,A1,5
Dinas Eltern sind auch in der Küche.,A1,7
Sie heißt Jana.,A1,3
"Emil ist glücklich, denn er hat jetzt zwei Hobbys: Fußball und Zeichnen.",A1,12
Edward tanzt für Dina.,A1,4
In der Nähe gibt es einen Wald und einen See.,A1,10
Jetzt ist es 10:15 Uhr.,A1,5
Sie nehmen die Tasche mit.,A1,5
Das Seminar ist zu Ende!,A1,5
Also will sie eine Reise machen.,A1,6
Faust sitzt dort im Schatten und bellt glücklich:,A1,8
Jetzt sind alle Sachen im Wohnzimmer.,A1,6
2019 wurde das Werk umgebaut.,A1,5
"„Wir werden das Fahrrad finden“, sagt die Polizistin.",A1,8
Die sind hier sehr gut.,A1,5
Dann sieht sie das Papier an.,A1,6
Sein Handy fällt nach unten.,A1,5
Danach tanzen und lachen sie viel.,A1,6
Kellner: Kein Problem.,A1,3
"Sie kauft Brot, Käse, Tomaten und Milch.",A1,7
"Boah , Angebot hier!",A1,4
Wer war ihr Schöpfer?,A1,4
Er ist sehr langweilig.,A1,4
Ich habe Fieber.,A1,3
"„Hallo, ein Stammtisch ist eine Gruppe.",A1,6
Mohammed hat kein Essen zu Hause.,A1,6
Wir feiern in meiner Wohnung.,A1,5
Dann spielen die Frauen Schach.,A1,5
Tim ist nervös.,A1,3
Sie trifft sich jede Woche oder jeden Monat.,A1,8
Emma nimmt die Uhr und lacht.,A1,6
Willi ist 52 Jahre alt.,A1,5
Der Raum ist sehr groß.,A1,5
Grünkohl muss irgendwie sein.,A1,4
"Oh nein, es ist 10:13 Uhr.",A1,6
"Großbritannien, Portugal, Spanien, Frankreich und den USA.",A1,7
Auf dem Tisch steht ein Kuchen.,A1,6
Wer war sie?,A1,3
Herr Fink ist müde.,A1,4
„Hallo Laura.,A1,2
Und sorry nochmal .,A1,4
Dann hilft ihnen Hannah.,A1,4
Mohammed nimmt einen Korb.,A1,4
Eine in Deutsch und eine in Englisch.,A1,7
Jetzt ist unser Sohn hier bei uns.,A1,7
000 Euro.,A1,2
Dann spielen alle zusammen Fußball.,A1,5
Mathilde: Du kannst Spaghetti essen.,A1,5
Mein Name ist Meier.,A1,4
"Stehlampe, Schreibtisch, Esstisch, Stühle und Waschmaschine.",A1,6
Der Clown sagt Hallo.,A1,4
Er sieht das Auto an.,A1,5
Wie toll!,A1,2
Es gibt eine Telefonnummer.,A1,4
Ihr Reiseziel ist in diesem Jahr die Schweiz.,A1,8
Sie hat ihr Fahrrad gefunden.,A1,5
Es kostet mehr als 10.,A1,5
Wer war sie?,A1,3
Die zwei Frauen hören zusammen Musik.,A1,6
Was macht Tim jetzt?,A1,4
Lukas hat ein Auto.,A1,4
Die Drei kommen im Park an.,A1,6
Sie wohnt in Hamburg.,A1,4
Thalia muss lang suchen.,A1,4
Ich auch.,A1,2
Nach fünf Minuten kommt der Bus.,A1,6
Mona und Amira sagen Danke und Tschüss.,A1,7
Ich habe ein bisschen Angst. “,A1,6
Vielleicht ist eine Person im Keller.,A1,6
"„Mein Fahrrad ist weg“, sagt Mona.",A1,6
Auf Adelinas Pizza sind Tomaten!,A1,5
Alexander antwortet nicht.,A1,3
Mirko wartet und wartet.,A1,4
Dort sind viele Menschen.,A1,4
Emma öffnet die Tür.,A1,4
"Okay, [es] ist keine Musik hier.",A1,6
Dann stehen sie auf.,A1,4
Tim setzt sich.,A1,3
"In der Tasche sind Kleidung, Geld, ein bisschen Brot und Wasser - und ein Handy.",A1,15
Alexander kann sie nicht finden.,A1,5
"Ja, 1. 500, 2. 000 bestimmt.",A1,6
Nach dem Frühling kommt der Sommer.,A1,6
Dann sucht Mirko seine Eltern.,A1,5
Aber der Kühlschrank ist leer.,A1,5
Also zieht Willi seine Jacke an.,A1,6
Nach fünf Minuten ist Anna da.,A1,6
Aber es ist nicht mehr da.,A1,6
Seine Oma wohnt in München.,A1,5
Ich bin eine Geschmacksexplosion .,A1,5
Maria: Und ich möchte bitte einen Salat.,A1,7
"„Ja, super, das machen wir. “

Sofia geht in ihr Zimmer.",A1,11
Es öffnet um acht Uhr.,A1,5
Dann geht er nach Hause.,A1,5
Auf dem Foto ist eine Stadt am Meer.,A1,8
Hier sitzen viele Studenten.,A1,4
Er sitzt allein auf einer Bank.,A1,6
"Der Ball fliegt zum Vogel, aber der Vogel fliegt nicht weg.",A1,11
Das sieht lustig aus und Dina muss lachen.,A1,8
Er sagt laut:,A1,3
Der Zug kommt um 10 Uhr.,A1,6
Wir müssen zurück.,A1,3
Er wohnt in Köln.,A1,4
Nach drei Minuten öffnet Alexander die Zimmertür.,A1,7
Sie geht essen.,A1,3
In der Tasche sind Gläser und Teller.,A1,7
Und der Trabi?,A1,3
Die Prêt-à-porter- Schauen in Paris.,A1,5
Was machen wir jetzt? “,A1,5
„Am Mittwochabend kann ich leider nicht.,A1,6
Anna zieht ihre Jacke an und nimmt ihre Tasche.,A1,9
Das ist der Trick.,A1,4
„Es ist nur für Singles.,A1,5
Thalia steht auf.,A1,3
"„Sofia, wo ist meine Tasche? “, fragt er.",A1,8
Und er fliegt nicht gern.,A1,5
Auf dem Zug steht: Barcelona.,A1,5
Im Mund sind die Zähne und die Zunge.,A1,8
Thalia lächelt zurück.,A1,3
Zehn Euro für diese[n] große[n] Teller Merlan.,A1,7
Aber es ist nicht kaputt.,A1,5
Nach 20 Minuten sind sie am See.,A1,7
00 Uhr geht Anna mit ihrem Hund im Park spazieren.,A1,10
Dann ist Lukas in Italien.,A1,5
„Vielen Dank!,A1,2
Anastasia sieht den Brief an.,A1,5
Lotta und ihr Vater fahren zum Arzt.,A1,7
"„Ich will mit dem Boot fahren! “

„Au ja, ich auch! “, sagt Sofia.",A1,14
Emil hat auch ein Hobby.,A1,5
Aber dann gibt es ein Problem.,A1,6
Sie beginnt am Samstag um 19 Uhr.,A1,7
"Vielen Dank für das Boot! “, sagt Sofia.",A1,8
Wo ist die Bibliothek?,A1,4
„Oh nein!,A1,2
Das war viel Arbeit.,A1,4
Heute geht Thalia in die Uni.,A1,6
Dinas Vater gibt Dina ein Geschenk.,A1,6
Sein Freund Felix sagt oft: „Emil ist super.,A1,8
Dann zieht sie sich an.,A1,5
Jana ist auch allein hier.,A1,5
Emma hat Angst.,A1,3
Das ist meine … meine große Liebe.,A1,7
Die Berge in der Schweiz sind schön.,A1,7
00 Uhr auf.,A1,3
Er nimmt auch ein Handtuch und seine Badehose.,A1,8
Sadja weckt Fatma.,A1,3
Er geht in den Park.,A1,5
Sie haben zwei Kinder.,A1,4
Laura weiß es nicht.,A1,4
Dann gehen Anna und Lisa zusammen nach Hause.,A1,8
Seine Haare sind grün und seine Nase ist rot.,A1,9
Emil ist 23 Jahre alt.,A1,5
“ ______________________________________________________________ *Mit Beiträgen von Clemens Verenkotte (ARD Wien) und Katja Gasser (ORF),A1,13
Es ist blau und weiß.,A1,5
Er lächelt.,A1,2
Sie isst das Brot und trinkt den Kaffee.,A1,8
Hannah weiß es nicht.,A1,4
„Ich heiße Thalia.,A1,3
Emma ist ein bisschen müde.,A1,5
"„Das sieht sehr schwer aus“, sagt Emil.",A1,7
Da ist einer frei.,A1,4
Und Andreas hat einen Ball in der Hand.,A1,8
Der Mann lächelt und sagt:,A1,5
Sie öffnet den Brief.,A1,4
Aber wo ist die Milch?,A1,5
Es ist 7:50 Uhr.,A1,4
Es ist groß und sehr alt.,A1,6
Jetzt zeichnet Emil.,A1,3
Er ist am Fenster.,A1,4
Notre-Dame ist mein Herz und meine Seele .,A1,8
Sie hat etwas in der Hand.,A1,6
"„Einen Nachtisch, also ein Dessert.",A1,5
"Tach , ick bin's, der Döner, der Streetfood -Star in Berlin.",A1,11
Mona freut sich sehr!,A1,4
Er sagt:,A1,2
Dann nimmt Andreas den Ball und fragt:,A1,7
"„Das Festival war so toll! “, sagt Erna.",A1,8
In der Nacht wacht Sadja auf.,A1,6
"„Die Fahrt mit dem Boot war super“, sagt Sofia.",A1,9
"„Ja, du hast recht.",A1,4
Oh nein!,A1,2
Der Motor ist sehr heiß.,A1,5
Im Hotel Schöndorf kann man viel machen.,A1,7
„Florian will gern ins Schwimmbad gehen.,A1,6
"„Danke, Lisa! “, sagt Anna.",A1,5
"Wollen wir an den See fahren? “, fragt Sofia.",A1,9
Am Ende vom Festival sagt Jana: „Das war toll!,A1,9
Das ist gut.,A1,3
Timo freut sich.,A1,3
Sie trinkt den Tee.,A1,4
Das ist sehr billig.,A1,4
Ich habe Durst. “,A1,4
Laura und Kilian sind allein im Kino.,A1,7
"„Oh nein, meine Tasche!",A1,4
Florian spricht Griechisch und Deutsch.,A1,5
Das Boot ist wieder auf dem See.,A1,7
Es ist Sommer und sie fahren mit ihrer Klasse ans Meer.,A1,11
"Oh nein, es ist 10:13 Uhr.",A1,6
"Jetzt ist Tanja glücklich, denn sie hat ihre Jacke wieder.",A1,10
Männer und Frauen gehen zur Arbeit und Kinder gehen zur Schule.,A1,11
"Eine Fahrkarte nach München kostet 60 Euro. “

Tim hat Glück, denn er hat genug Geld dabei.",A1,17
Lukas fährt und fährt.,A1,4
Sie will eine Pizza mit Schinken essen.,A1,7
Aber das ist kein Problem für Emma.,A1,7
Klasse auf einem Gymnasium in Paris.,A1,6
Sie beginnt ein Studium und heute ist der erste Tag.,A1,10
Erna hat zwei Karten für das Festival.,A1,7
"Kellner: Hier, bitte sehr, die Suppen und der Salat.",A1,9
"„Ich weiß es nicht“, antwortet sie.",A1,6
Du auch? “,A1,3
Eine Karte ist für Erna und eine Karte ist für ihre Freundin Sofia.,A1,13
Jetzt kann er wieder fliegen.,A1,5
Dann geht der Junge weiter.,A1,5
"In dem Auto sind Emmas Sachen: Bücher, Kleidung, Teller, Tassen und noch mehr.",A1,13
Er lächelt.,A1,2
"„Der Zug nach Barcelona um 15 Uhr kommt heute nicht. “

Oh, nein!",A1,13
In einem allein stehenden Haus.,A1,5
Von Katrin Wittstadt und ihrem Team.,A1,6
Salat ess’ ich viel zu Hause.,A1,6
Wo ist Tims Zug?,A1,4
„Dieses Buch ist sehr teuer.,A1,5
Jetzt hat sie ein Problem.,A1,5
Sie lachen viel.,A1,3
Die Musik ist super und die Menschen sind sehr nett.,A1,10
Der Supermarkt ist nicht weit weg.,A1,6
Dann nimmt er einen Stift.,A1,5
"Ein Mann setzt sich neben Emil
Der Mann ist alt, vielleicht 60.",A1,12
Wann kommt der Zug?,A1,4
Es fährt nicht mehr.,A1,4
Nach dem Spiel fährt Tim direkt zu seiner Oma.,A1,9
Hannah beginnt ihre Arbeit.,A1,4
Timo stellt die Chips auf den Tisch.,A1,7
Wo ist die Bibliothek?,A1,4
Das Seminar beginnt in zwei Minuten.,A1,6
"„Guten Tag! “

„Guten Tag Frau Grün.",A1,7
"Faust! “, rufen sie laut.",A1,5
„Es ist nur diese Uhr.,A1,5
Schon so spät?,A1,3
Heute ist Sonntag.,A1,3
Natürlich gibt es dort auch Pullover.,A1,6
Dezember mit Geschenken und einem Weihnachtsbaum gefeiert.,A1,7
Draußen ist es sehr kalt.,A1,5
"Lena, Ralf und Andreas sind sehr froh.",A1,7
"„Entschuldigung, es gibt ein Problem.",A1,5
Ihr Portemonnaie ist nicht da.,A1,5
Dann hört Mirko eine Durchsage:,A1,5
Meine Lieblingsmoschee ist die Moschee in Belarus.,A1,7
Jana nimmt ihr Handy.,A1,4
Die Bands spielen Musik.,A1,4
"Zehn, zehn, zehn, zehn, zehn Euro für dich.",A1,8
"Ich will keine Tomaten“, sagt Adelina laut.",A1,7
Nach zwanzig Minuten kommt sie an.,A1,6
Die zwei Geschwister stehen auf.,A1,5
"Kann ich eine neue kaufen? “

Der Schaffner ist freundlich.",A1,10
Er heißt Ben und ist ein Jahr alt.,A1,8
Tobi sagt:,A1,2
Oh nein!,A1,2
Monas Freundin heißt Amira.,A1,4
Tim liest nicht.,A1,3
Sie leben in Spanien.,A1,4
Sadja und Fatma sind sehr müde von der Reise.,A1,9
Jana sagt:,A1,2
Tarik bestellt.,A1,2
"ja, das bin ich.",A1,4
Lena ist eine Freundin von ihnen.,A1,6
Also ruft sie Tobi an und fragt ihn:,A1,8
"Alles Gute und auf Wiedersehen, Frau Grün! “

Emma öffnet die Haustür.",A1,12
Pilze mag ich nicht.,A1,4
Wir sind eine junge Familie.,A1,5
Hannah arbeitet jetzt in einer Bibliothek.,A1,6
Mirko ist müde.,A1,3
"Er sagt: „Ja, das geht.",A1,5
Der Zug fährt aus dem Bahnhof.,A1,6
Sofia sieht nach links und nach rechts.,A1,7
„Ich heiße Thalia.,A1,3
Am Sonntag hat das Restaurant geschlossen.,A1,6
Thalia geht auch weiter.,A1,4
In dem Boot sitzen drei Menschen.,A1,6
"Mathilde: Für mich auch eine Suppe, eine Tomatensuppe.",A1,8
Emma hatte eine Wohnung.,A1,4
"Wie kann ich Ihnen helfen? “, fragt Herr Fink.",A1,9
"„Kein Problem! “, antwortet der Junge.",A1,6
Sadja und Fatma haben Angst.,A1,5
Er denkt: „Das war teuer.,A1,5
"Wir haben nur fünf Euro“, sagt Alexander. """,A1,8
Warum ist er in München?,A1,5
Aber kann sie Freunde finden?,A1,5
Im Supermarkt nimmt Anna einen Einkaufswagen.,A1,6
Sie wartet.,A1,2
Anders als früher.,A1,3
Dort kann man schwimmen.,A1,4
Er hört Musik und denkt an Italien.,A1,7
Also muss Anna einkaufen gehen.,A1,5
Es ist Montag um 7:40 Uhr.,A1,6
Dann geht der Junge weiter.,A1,5
Herr Fink arbeitet im Hotel Schöndorf.,A1,6
Dann nimmt sie die Fahrkarte.,A1,5
Links neben Sandra steht ein Mann.,A1,6
Er möchte reservieren.,A1,3
"„Kein Problem! “, antwortet der Junge.",A1,6
Sie liest und liest und liest.,A1,6
"„Es tut mir leid, aber ich bin krank.",A1,8
"Es macht ding, dong.",A1,4
Sie gehen aus dem Zimmer.,A1,5
"Das Schwimmbad ist rechts, neben dem Restaurant Stern.",A1,8
Tarik ist traurig.,A1,3
Erna geht allein auf das Festival.,A1,6
Florian und Pauline gehen tagsüber in den Kindergarten.,A1,8
Lotta und ihr Vater fahren zu einem anderen Arzt.,A1,9
Anna: Ich weiß es nicht.,A1,5
Er ist zu klein.,A1,4
Herr Schmidt zeigt Hannah ein Buch.,A1,6
"„Oh, es klingelt“, denkt Anastasia.",A1,5
Das Schwimmbad hat jeden Tag von zehn bis sechzehn Uhr geöffnet.,A1,11
Die Polizistin ist sehr nett.,A1,5
"„Hallo Erna“, sagt Sofia.",A1,4
Die Stadt ist sehr klein.,A1,5
Es gibt viele Parks und Kirchen.,A1,6
Sie hat Tanjas Jacke in der Hand.,A1,7
Sandra steht an der Haltestelle,A1,5
"„Kann ich das auch lernen? “, fragt er dann.",A1,9
Aber wo ist sie?,A1,4
Das Restaurant im Hotel heißt,A1,5
Langsam geht Willi in das Wasser.,A1,6
Also geht sie in ein Modegeschäft.,A1,6
Emil will nicht allein zu Hause bleiben.,A1,7
Ich bin nicht sicher.,A1,4
Emma kommt aus Hamburg.,A1,4
Oft nur eine Stunde.,A1,4
"Mohammed will viel kaufen: Eier, Brot, Äpfel und Milch.",A1,9
Dann trifft der Ball den Vogel.,A1,6
"„Ein Schokoladeneis oder ein Erdbeereis? “„Ein Schokoladeneis, bitte! “Marina will einen Kaffee trinken und Tarik will ein Stück Apfelkuchen essen.",A1,20
Tanja geht schnell zur Kasse.,A1,5
"Singles sind also nicht verheiratet und haben keinen Freund oder keine Freundin. “

Simon versteht nicht.",A1,16
Er sucht seinen Platz.,A1,4
Willi liebt das Meer.,A1,4
Ralf und Andreas gehen heute in den Park.,A1,8
"„Kann ich das auch lernen? “, fragt er dann.",A1,9
Warum kommst du so spät? “,A1,6
Sie sieht den Vogel.,A1,4
Die Sonne scheint.,A1,3
Tanja möchte einen Pullover kaufen.,A1,5
"„Wir haben schon einen Tisch“, sagt er.",A1,7
Nach 20 Minuten findet sie die Bibliothek.,A1,7
Nahrung findet sie nicht.,A1,4
Jetzt kann Tim die Stadt sehen.,A1,6
Fatma denkt das nicht.,A1,4
Er lacht freundlich.,A1,3
Heute ist Samstag und Anna hat frei.,A1,7
"Dort gibt es viel Kleidung: Hosen, T-Shirts und Jacken.",A1,9
Simon ist traurig.,A1,3
Also kauft er einen Kaffee.,A1,5
Es liegt 50 km von Homs entfernt.,A1,7
Lukas ist 22 Jahre alt.,A1,5
Dann hört Anastasia etwas.,A1,4
Er ist sehr heiß.,A1,4
Du kannst es lernen.,A1,4
Es ist Sommer und das Wetter ist sehr schön.,A1,9
Scharf ist es nicht!,A1,4
"„Oh nein, warum tut mein Bein weh?",A1,7
Sofia und Alexander sind Geschwister.,A1,5
„Danke für das Buch!,A1,4
Das Haus ist in Berlin.,A1,5
"Er ist sehr glücklich, denn er schwimmt gern im Meer.",A1,10
„Ich habe neue Freunde gefunden.,A1,5
Aber was sieht Tim?,A1,4
Lotta und ihr Vater gehen in ein Zimmer mit Stühlen und Tischen.,A1,12
Fatma und Sadja gehen in ihr Zimmer.,A1,7
Dina weiß es.,A1,3
Es ist 17 Uhr und Hannahs Arbeit ist zu Ende.,A1,10
"Viele Grüße, Anastasia Wagner“

Anastasia ist glücklich.",A1,7
Es ist ihre Lieblingsband.,A1,4
Luan will eine Pizza Margherita haben.,A1,6
Viele Plätze sind frei.,A1,4
Sandra steigt aus.,A1,3
Er will umziehen.,A2,3
"Doch dann wacht er auf, denn er hört etwas.",A2,9
"Im Park wollen die Drei zusammen essen, trinken und Fußball spielen.",A2,11
"„Ich liebe Tiere auch, aber eine Schlange ist nichts für mich. “ „Ja, gut.",A2,14
Dann essen sie zusammen den Kuchen.,A2,6
Er ist zufrieden mit seiner Entscheidung.,A2,6
Bei der nächsten 6 durfte er oder sie es dann auch auspacken.,A2,12
Du bist doch meine beste Freundin.,A2,6
Rauchen Sie? “ -,A2,4
Die Sonne ist sehr stark und man braucht Sonnencreme.,A2,9
Neugierig geht Julia näher.,A2,4
Hirlatz heißt die Berggruppe in Oberösterreich.,A2,6
Also nimmt sie ihr Handy und wählt die Nummer 110.,A2,10
"Sie gibt Dina, Edward und ihrem Mann ein Stück.",A2,9
Lernen kann also doch Spaß machen!,A2,6
"Mirko ist glücklich, denn er muss nicht mehr warten und die Reise geht weiter.",A2,14
"„Die Reise war super! “, erzählt sie.",A2,7
Auf dem Platz vor der Uni läuft Thalia gegen einen Jungen.,A2,11
Montags und freitags hat die Hotel-Bar geöffnet.,A2,7
Heute ist sein erster Tag im Café am Markt.,A2,9
Das Lineal brauche ich für Mathematik.,A2,6
Jack kommt aus den Vereinigten Staaten von Amerika und studiert in San Diego.,A2,13
Es ist so aufregend!,A2,4
"Aber zwei Plätze sind frei:

Thalia kann neben einem Mädchen sitzen oder neben dem Jungen mit der Silbermond-Tasche!",A2,18
"Spaghetti kann wirklich jeder kochen, denkt Marie.",A2,7
"Super, danke, das mach ich!",A2,5
„Wo ist Faust?,A2,3
Es war eine tolle Zeit.,A2,5
Tim setzt sich und sieht aus dem Fenster.,A2,8
Das Buch von Herrn Schmidt steht immer im Regal.,A2,9
Berlin ist eine große und interessante Stadt.,A2,7
Das war nicht immer so.,A2,5
Anastasia steht auf und zieht sich an.,A2,7
Also nimmt sie ihn und geht in eine Umkleidekabine.,A2,9
"Diese gelbe Moschee hier, einfach weil Gelb meine Lieblingsfarbe ist.",A2,10
Es kommt von unten aus dem Keller.,A2,7
Es gibt Würstchen.,A2,3
Und unsere Kleidung kann auch schön bunt sein.,A2,8
Er sitzt hinten und spricht mit zwei Studenten.,A2,8
Er denkt nach.,A2,3
Sie öffnet die Tür vom Seminarraum.,A2,6
"aktiv, hilfsbereit und auch tierlieb sein.",A2,6
Sie feiern heute alle zusammen Annas Geburtstag.,A2,7
Dann gehen wir zusammen hin. “ Marie nickt.,A2,8
Marie denkt kurz nach.,A2,4
In einer Woche dürfen Sie wieder Fußball spielen.,A2,8
Unterkunft in Gastfamilien oder im Hotel.,A2,6
